iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.02531816248379143,0.0,0.025318163585799226,1.1020077975154585e-09,-0.3182336474089392,PASS,no_biactive,none,Solve_Succeeded,0.024127926999426563,0,initial,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.012659081241895714,0.0,0.0126590812419243,2.858477343714583e-14,-0.22502516518757895,PASS,no_biactive,none,Solve_Succeeded,0.018025896000835928,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.006329540620947857,0.0,0.006329540620962118,1.426116169600533e-14,-0.1591168202417595,PASS,no_biactive,none,Solve_Succeeded,0.016997514001559466,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0031647703104739286,0.0,0.0031647798163440184,9.505870089774465e-09,-0.11251275156788285,PASS,no_biactive,none,Solve_Succeeded,0.015112783999938983,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0015823851552369643,0.0,0.0015823899083335477,4.753096583421518e-09,-0.07955852960766781,PASS,no_biactive,none,Solve_Succeeded,0.014081490999160451,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.0007911925776184821,0.0,0.0007911949541667269,2.376548244764805e-09,-0.05625637578681089,PASS,no_biactive,none,Solve_Succeeded,0.013199996999901487,0,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.00019779814440462054,0.0,0.00019779816278502846,1.838040792701348e-11,-0.02812814695532042,PASS,no_biactive,none,Solve_Succeeded,0.017050226000719704,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,4.9449536101155134e-05,0.0,4.944954069615527e-05,4.5950001345117925e-12,-0.014064073477645616,PASS,no_biactive,none,Solve_Succeeded,0.018963029000587994,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,1.2362384025288784e-05,0.0,1.2369923217155512e-05,7.539191866728055e-09,-0.007034180326706085,PASS,no_biactive,none,Solve_Succeeded,0.013882393001040327,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,3.090596006322196e-06,0.0,3.0924869421178925e-06,1.890935795696586e-09,-0.003517093653639324,PASS,no_biactive,none,Solve_Succeeded,0.014028027000676957,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,7.72649001580549e-07,0.0,7.731217405543572e-07,4.727389738081926e-10,-0.001758546832534365,PASS,no_biactive,none,Solve_Succeeded,0.014585685999918496,0,superlinear,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
