iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9999788846386856,1.675735772366238e-08,109.14342962421495,PASS,no_biactive,none,Solve_Succeeded,0.8459069179998551,0,initial,177,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.925916352647895e-13,1.7041774330222395e-09,5.185334952175634e-13,0.05721341384503907
2,0.5,0.0,0.5000000008142229,2.672247145785178e-09,109.13103267830967,PASS,no_biactive,none,Solve_Succeeded,0.945631585999763,0,slow,62,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,6.463301351448105e-19,0.0,0.05630479426046904
3,0.25,0.0,0.12499999238945061,3.1526848928923305e-10,109.1310326772178,PASS,no_biactive,none,Solve_Succeeded,0.06403360499916744,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.2182481283591505e-16,3.2880064689683712e-09,2.390754611907593e-13,0.05631006473957611
4,0.125,0.0,0.12499999238945061,9.822408767734685e-09,109.1310326772178,PASS,no_biactive,none,Solve_Succeeded,0.13612630300031014,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.00163841157744e-14,0.0,0.0,0.05630479416814159
5,0.0625,0.0,0.033756266507361195,5.681765371065684e-11,109.13103267721922,PASS,no_biactive,none,Solve_Succeeded,0.05622312400009832,0,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.2741763640312733e-13,1.3151959998856017e-08,2.315256246944428e-13,0.05632718815560184
6,0.03125,0.0,0.0312500004324065,6.835758903367406e-10,109.13103267830967,PASS,no_biactive,none,Solve_Succeeded,0.354572258999724,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.077399524887656e-19,4.752395999494135e-19,0.0,0.05630479426483556
7,0.015625,0.0,0.015625000290126853,9.284619337246447e-09,109.13103267830968,PASS,no_biactive,none,Solve_Succeeded,0.67552577799961,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.834540981279744e-20,0.0,0.0,0.05630479426469947
8,0.0078125,0.0,0.004175035829781432,9.955854656581043e-10,109.1310326772084,PASS,no_biactive,none,Solve_Succeeded,0.06390010700033599,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.61423078045652e-11,1.0521072129691282e-07,-6.525166739680561e-10,0.056460666320102194
9,0.001953125,0.0,0.001953125443897803,4.596623234820463e-09,109.13103267830967,PASS,no_biactive,none,Solve_Succeeded,0.4568562929998734,0,superlinear,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.379885041782015e-18,0.0,0.05630479426466694
10,0.00048828125,0.0,0.0004882818216551792,9.561552383186012e-10,109.13103267830967,PASS,no_biactive,none,Solve_Succeeded,0.771336811000765,0,superlinear,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.1745604541025873e-19,7.779603202908637e-20,0.0,0.05630479426327881
