iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000099796353,1.4210854715202004e-14,-1.747578008125817,PASS,PASS,none,Solve_Succeeded,0.34140467700035515,4,initial,197,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.991937453179928e-17,5.835309424485753,3.8623863242873035e-12,5.573480905351537e-07
2,0.5,0.0,0.5000000099739043,1.7751186965626468e-10,-1.2220534424836287,PASS,PASS,none,Solve_Succeeded,1.020295692000218,7,slow,613,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.169881933162946e-14,2.611113657008466,7.052445294892709e-12,5.951020091107475e-09
3,0.25,0.0,0.25000000838080794,2.103756058247086e-10,-1.0255789580063357,PASS,PASS,none,Solve_Succeeded,0.13664552699992782,3,slow,78,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1621608537224372e-09,2.162264031906058,5.941322507801286e-10,2.038181815888328e-09
4,0.125,0.0,0.12500000997582808,5.811462422400382e-13,-0.9234929618609048,PASS,no_biactive,none,Solve_Succeeded,0.021989326999573677,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.811729773940605e-11,1.9089186864108376,1.0583079573801487e-11,2.47009020319697e-11
5,0.0625,0.0,0.0625000099761421,8.881784197001252e-16,-0.8714403809721047,PASS,no_biactive,none,Solve_Succeeded,0.018948070000078587,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.082336348249861e-10,1.7888690976087676,9.957082760262133e-12,2.5022422797250023e-11
6,0.03125,0.0,0.03125000997629673,3.4139358007223564e-14,-0.8451582206168379,PASS,no_biactive,none,Solve_Succeeded,0.02146058600010292,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.2828516563390075e-10,1.7285500924747457,9.64127751526804e-12,2.5191285751424e-11
7,0.015625,0.0,0.015625009730799163,3.258171510367447e-12,-0.8319530101568468,PASS,no_biactive,none,Solve_Succeeded,0.020302735000768735,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.33588973999218e-09,1.7005637557948612,1.0804682110268987e-10,2.880149232167514e-10
8,0.0078125,0.0,0.007812509860905963,5.326681578460279e-10,-0.8253343758238328,PASS,no_biactive,none,Solve_Succeeded,0.016102814999612747,0,fast,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.422616871975386e-09,1.6869425033759782,5.543990127968722e-11,1.4928947449579645e-10
9,0.00390625,0.0,0.003906259952145257,1.103512844123633e-08,-0.822021053263959,PASS,no_biactive,none,Solve_Succeeded,0.020698212999377574,0,fast,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.87033160585951e-09,1.6888608494348738,1.9011015316218112e-11,5.145501585077177e-11
10,0.001953125,0.0,0.0019531349764395503,1.3827309736568968e-07,-0.8203633908743801,PASS,no_biactive,none,Solve_Succeeded,0.023731308000606077,0,fast,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.828302667649749e-09,1.6898615616359072,9.343890049314233e-12,2.535491716105143e-11
11,0.0009765625,0.0,0.0009765724764445225,7.450914250859472e-07,-0.8195343094283876,PASS,no_biactive,none,Solve_Succeeded,0.016833468000186258,0,fast,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.668231969254458e-09,1.6903945210961282,9.333954434290814e-12,2.536046032050316e-11
