iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.09898768323075625,0.0,0.0015598242380248956,1.3802292642139946e-12,3315.726264779461,PASS,PASS,none,Solve_Succeeded,2.1278435700005502,32,initial,367,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.111748318656826e-10,68.83228370878399,1.4953147077052118e-11,62.07643725207801
2,0.04949384161537813,0.0,0.0015598242378502265,5.510787798432077e-14,3315.7262647792422,PASS,PASS,none,Solve_Succeeded,0.21952596299979632,29,slow,37,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6173825840225505e-10,68.83228370897655,1.350700515822916e-11,62.0764372575257
3,0.024746920807689064,0.0,0.001559824237824564,3.989228665937311e-13,3315.7262647792413,PASS,PASS,none,Solve_Succeeded,0.26907534900055907,29,slow,42,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6173852143042686e-10,68.83228370897852,1.3507005063886052e-11,62.07643725703256
4,0.012373460403844532,0.0,0.0015598242377677528,2.1235396360126726e-13,3315.726264779241,PASS,PASS,none,Solve_Succeeded,0.26827319499989244,28,post_stagnation_fast,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.617382584140688e-10,68.83228370898242,1.3507005158228207e-11,62.07643725753016
5,0.006186730201922266,0.0,0.001559824237625409,4.674958319272731e-14,3315.7262647792427,PASS,PASS,none,Solve_Succeeded,0.243344628000159,27,post_stagnation_fast,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.617382584345147e-10,68.83228370899019,1.3507005158227995e-11,62.076437257536156
6,0.0015466825504805665,0.0,0.0015466924640784648,4.197200508604118e-14,3315.726266179897,PASS,PASS,none,Solve_Succeeded,0.271573475999503,26,adaptive_jump,42,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.636360106224844e-10,68.83228370890832,1.3507005158244272e-11,62.07643725772448
7,0.0007733412752402832,0.0,0.0007733512747269222,7.683845201531549e-10,3315.735998648573,PASS,PASS,none,Solve_Succeeded,0.2864786930003902,24,slow,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.460052785294436e-10,68.83228365752875,1.3507004805334819e-11,62.076437322513875
8,0.0003866706376201416,0.0,0.0003866806374964016,5.7670969302236e-14,3315.776350228476,PASS,PASS,none,Solve_Succeeded,0.262384500000735,22,slow,42,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.871744880369233e-10,68.83228290419551,1.3506922093815425e-11,62.07643828702322
9,0.0001933353188100708,0.0,0.00019334531877099675,4.32716977130369e-14,3315.8660209564246,PASS,PASS,none,Solve_Succeeded,0.2330854490001002,18,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.184703795854691e-09,68.83227866898794,1.34989564146099e-11,62.076440446725464
10,9.66676594050354e-05,0.0,9.667765939066759e-05,7.272148064659432e-14,3316.013342698558,PASS,PASS,none,Solve_Succeeded,0.22909148700000515,15,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5037618003323675e-09,68.83226590189167,1.3491162553281531e-11,62.07644430934531
11,4.83338297025177e-05,0.0,4.834382969599037e-05,1.5129690473333403e-11,3316.1981912882475,PASS,PASS,none,Solve_Succeeded,0.18352034299914521,6,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7652382186052194e-09,68.83225056898623,1.348218207095068e-11,62.07644860034366
