iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0909545422178924,0.0,0.00041559574083755205,1.0739541372681255e-13,927.1145082497351,PASS,PASS,none,Solve_Succeeded,0.37601760599955014,10,initial,138,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.914609720627985e-11,46.494211420519306,1.5175419403350587e-11,38.442318522823854
2,0.0454772711089462,0.0,0.0004155957408418656,3.961513468464576e-14,927.1145082497403,PASS,PASS,none,Solve_Succeeded,0.04920433300048899,8,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977868165041442e-11,46.49421142049454,1.5296710718867256e-11,38.44231852284826
3,0.0227386355544731,0.0,0.00041559574083806824,1.5186586825603963e-11,927.11450824974,PASS,PASS,none,Solve_Succeeded,0.053280280999388197,8,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977828154906289e-11,46.49421142049613,1.5296609734917083e-11,38.4423185228977
4,0.01136931777723655,0.0,0.00041559574083067084,1.3874549767941254e-12,927.1145082497402,PASS,PASS,none,Solve_Succeeded,0.07309626699952787,8,post_stagnation_fast,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977868152947577e-11,46.49421142049836,1.5296709339721512e-11,38.44231852299535
5,0.005684658888618275,0.0,0.00041559574081471875,5.2486754648491833e-11,927.1145082497401,PASS,PASS,none,Solve_Succeeded,0.06795685199995205,8,post_stagnation_fast,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977867917437696e-11,46.49421142049061,1.5296711768899337e-11,38.44231851529641
6,0.0014211647221545687,0.0,0.00041559574068471906,1.217397910781548e-10,927.1145082497388,PASS,PASS,none,Solve_Succeeded,0.05470695100029843,8,adaptive_jump,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977542176394999e-11,46.49421142053591,1.5295724446669868e-11,38.442318524370855
7,0.0007105823610772844,0.0,0.0004155957402961495,2.4557341576653713e-12,927.1145082497401,PASS,PASS,none,Solve_Succeeded,0.07865196300008392,8,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977868163401289e-11,46.4942114205732,1.529670829965489e-11,38.44231859637598
8,0.0003552911805386422,0.0,0.00035530117840783585,6.313611491664355e-14,927.1147553289399,PASS,PASS,none,Solve_Succeeded,0.0529470150004272,7,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.977889821120258e-11,46.49423334370981,1.5296711470434322e-11,38.44237426582638
9,0.0001776455902693211,0.0,0.00017765559007381317,7.288941562589915e-14,927.1217832696395,PASS,PASS,none,Solve_Succeeded,0.07262132699997892,7,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.978190882000142e-11,46.494352812935894,1.5297067659367607e-11,38.442676566314695
10,8.882279513466054e-05,0.0,8.883279508037268e-05,9.715511344028598e-13,927.1385356634328,PASS,PASS,none,Solve_Succeeded,0.04281623899987608,5,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.979352274856415e-11,46.494515482721596,1.5298979616373934e-11,38.44308410932117
11,4.441139756733027e-05,0.0,4.442139754617639e-05,3.411156651983548e-14,927.1639107665701,PASS,PASS,none,Solve_Succeeded,0.04702979099965887,3,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.972551160488179e-11,46.495414030495304,1.5301689377383474e-11,38.42206174813472
12,2.2205698783665136e-05,0.0,2.2215698771945512e-05,1.0543212879460162e-12,927.1941708667777,PASS,PASS,none,Solve_Succeeded,0.08232408599997143,1,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.951563169612071e-11,46.49657564884853,1.5298696244644927e-11,38.36218594237605
13,1.1102849391832568e-05,0.0,1.1112849382980801e-05,1.959871431811422e-10,927.221306189286,PASS,PASS,none,Solve_Succeeded,0.0786349350000819,1,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.927038696957184e-11,46.497045913745374,1.52890263617221e-11,38.292069631805205
14,5.551424695916284e-06,0.0,5.561424688102575e-06,1.8148121894157043e-12,927.2403776067963,PASS,no_biactive,none,Solve_Succeeded,0.06989927799986617,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.904579642466566e-11,46.497884671651704,1.528088505621202e-11,38.23181256032754
15,2.775712347958142e-06,0.0,2.7857123405436123e-06,2.277900090774665e-13,927.251731543281,PASS,no_biactive,none,Solve_Succeeded,0.07047218899970176,0,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.889421563039164e-11,46.49857733722814,1.5276106734494827e-11,38.19188665814784
16,1.387856173979071e-06,0.0,1.3978561667353074e-06,1.0094255292747434e-11,927.257880433682,PASS,no_biactive,none,Solve_Succeeded,0.07486646799952723,0,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.880711682608263e-11,46.49900022361524,1.5273356369571242e-11,38.16930462437359
17,6.939280869895355e-07,0.0,7.039280797958803e-07,8.535117231034395e-11,927.2610671973358,PASS,no_biactive,none,Solve_Succeeded,0.07502258000022266,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.876101064251961e-11,46.499229932457126,1.5271911075534893e-11,38.15739986420993
