iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9802993334988984,3.2604671899338943e-10,5.869028354814738e-17,PASS,PASS,none,Solve_Succeeded,29.387618942999325,250,initial,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.052996836239263e-11,2.921799039577181e-09,-1.561792275636655e-10,3.3462293813688744e-10
2,0.3,0.0,0.2717170672670313,4.373012149641272e-11,7.301647302812966e-20,PASS,PASS,none,Solve_Succeeded,19.95435261500097,38,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.524903643407905e-11,1.035610314870289e-09,-8.926797940839126e-12,2.5323031696923675e-11
3,0.09,0.0,0.08356469320860559,4.312884236103436e-10,4.394872106645878e-18,PASS,PASS,none,Solve_Succeeded,22.728748953999457,8,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8694605779994835e-10,9.671472361517527e-08,-1.194183032337405e-11,2.2867130363649977e-10
4,0.027,0.0,0.024797956099991404,1.4820590666843237e-10,1.6947657598637579e-18,PASS,PASS,none,Solve_Succeeded,33.639512112999,12,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.217122765739101e-11,1.1033980519007409e-07,-1.493440813666071e-11,1.5675011156737096e-10
5,0.0081,0.0,0.005414087942050287,2.954474510842769e-12,4.971880112457717e-20,PASS,PASS,none,Solve_Succeeded,31.61446534500101,38,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.386998640349228e-11,7.500028900552923e-08,3.2918844389834305e-13,2.6312623754921305e-10
6,0.00243,0.0,0.0022539194725870342,4.50610436593692e-10,4.343842461614047e-18,PASS,PASS,none,Solve_Succeeded,22.501535718000014,54,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.646397133616744e-11,2.72480099681527e-07,-4.025446834555513e-11,8.763059621784918e-10
7,0.0007289999999999999,0.0,0.0007290099971657597,6.923701233326439e-09,0.006461273917732502,PASS,PASS,none,Solve_Succeeded,52.733575472000666,48,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.396802820756086e-11,8.159069333925638,-5.980318477800527e-11,0.009403062243635798
8,0.00021869999999999998,0.0,0.00021870999887083298,1.5573744910487523e-08,0.02328700611363218,PASS,PASS,none,Solve_Succeeded,33.08011733999956,31,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.398073961652135e-11,14.110360608492037,3.4349795607115115e-13,0.01985724103252972
9,6.560999999999999e-05,0.0,6.561999968429751e-05,1.6664937109382824e-09,0.055110322070499596,PASS,PASS,none,Solve_Succeeded,34.53301900199949,21,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.366188817829927e-11,48.49550365858389,3.4318031190216757e-13,0.04392840417300978
10,1.9682999999999998e-05,0.0,1.9692999798145018e-05,4.748224036177362e-11,0.07993290502884652,PASS,PASS,none,Solve_Succeeded,40.47382475499944,13,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.347491915766625e-11,63.39264366804238,3.434107298859409e-13,0.057458703565607165
11,5.904899999999999e-06,0.0,5.914899885534368e-06,2.0448442938914013e-10,0.08957722002102468,PASS,PASS,none,Solve_Succeeded,35.75877557900094,8,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.341843238578043e-11,68.23990649074874,3.4363888979245943e-13,0.061985511074155765
12,1.7714699999999997e-06,0.0,1.7814699075033642e-06,1.9383428195851593e-10,0.09287893912401954,PASS,PASS,none,Solve_Succeeded,39.9304640679984,6,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.340062303095235e-11,69.84457127077641,3.4379632943560216e-13,0.0635145175860697
13,5.314409999999999e-07,0.0,5.414409131997126e-07,2.2307321051115436e-10,0.09394141292874876,PASS,PASS,none,Solve_Succeeded,40.83445156400012,3,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.339648462961711e-11,70.64398716579993,3.4383614263148523e-13,0.06426431433724189
