iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.00999682911365731,0.0,0.009996839111917396,1.2744119772404361e-11,15.516874611029602,PASS,no_biactive,none,Solve_Succeeded,0.028815523000048415,0,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7719242217801548e-12,4.633469228122624,1.695215197621827e-16,8.54816600398382
2,0.002999048734097193,0.0,0.0029990587323450507,8.866027684822472e-13,15.587432435198556,PASS,no_biactive,none,Solve_Succeeded,0.026685330999953294,0,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.798308278718574e-12,4.634971534937971,1.0511234305566713e-16,8.723490609480757
3,0.0008997146202291579,0.0,0.0008997146202291838,5.5626407675742,15.608661790137807,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.020699917999991158,0,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.052443249878895e-26,4.635384048460826,0.0,8.776959241042004
4,0.00026991438606874734,0.0,0.0002699143860687474,5.562659226192458,15.615036191121334,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.014003202999901987,0,slow,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1852936993314861e-22,4.635504433898384,0.0,8.793079797117846
5,8.09743158206242e-05,0.0,0.0009190156999876285,3.151969453927667e-11,15.616948678149608,PASS,no_biactive,none,Solve_Succeeded,0.0331171309999263,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7538138166330424e-12,4.6355404604378325,-4.788995165165369e-17,8.797922858555888
6,2.429229474618726e-05,0.0,2.4292294746187263e-05,5.562666008561593,15.61752292610228,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011069999000028474,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635550966184055,0.0,8.799376901280583
7,7.287688423856177e-06,0.0,7.2876884238561756e-06,5.562666469474653,15.617695099637496,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012345912999990105,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635554178984428,0.0,8.799813064555934
8,6.558919581470559e-07,0.0,0.0009993344383821376,5.940172798091226e-10,15.617761897630299,PASS,no_biactive,none,Solve_Succeeded,0.0318440290000126,0,superlinear,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7536717541371902e-12,4.635583150596553,-4.9983361603866965e-17,8.799998784542368
9,1.9676758744411678e-07,0.0,0.0009997932590514768,5.1514348342607263e-14,15.617766546362393,PASS,no_biactive,none,Solve_Succeeded,0.03672089700012293,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7536709422665157e-12,4.635639654419554,-4.999483027583667e-17,8.800044532833725
10,5.903027623323503e-08,0.0,5.903027630540029e-08,5.562666665070236,15.61776829119452,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08680675699997664,0,post_stagnation_fast,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635555544406158,0.0,8.79999848580283
