iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0021705075655117003,0.0,1.2562232610596533e-06,7.762679388179095e-13,0.016984305946832107,PASS,no_biactive,none,Solve_Succeeded,0.7586005490002208,0,initial,39,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012229257887,9.094574770889448,7.949461022285312e-14,1.0905727390535394e-10
2,0.00065115226965351,0.0,1.256229413082894e-06,2.275957200481571e-14,0.016984305827692087,PASS,no_biactive,none,Solve_Succeeded,0.3476570970001376,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012262406323,9.09457511556091,7.949442831104059e-14,1.0905701591829216e-10
3,0.000195345680896053,0.0,1.256229063020138e-06,2.886579864025407e-14,0.016984305837776277,PASS,no_biactive,none,Solve_Succeeded,0.34914286799994443,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012597323223,9.094579568135774,7.969534186110494e-14,1.0933264569364838e-10
4,5.86037042688159e-05,0.0,1.256229413167269e-06,4.4941828036826337e-13,0.01698430582769104,PASS,no_biactive,none,Solve_Succeeded,0.3655848979997245,0,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339013685448688,9.094593812078225,7.949442838370301e-14,1.0905701604734842e-10
5,1.758111128064477e-05,0.0,1.2562293990939012e-06,2.90878432451791e-14,0.016984305827682046,PASS,no_biactive,none,Solve_Succeeded,0.4383737799998926,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339017332129381,9.094638673246795,7.949442830221802e-14,1.0905701590346561e-10
6,1.5823000152580293e-06,0.0,1.2562293990939035e-06,3.1530333899354446e-14,0.01698430582761061,PASS,no_biactive,none,Solve_Succeeded,0.45285075499987215,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339069661278756,9.095009361109913,7.949442830236031e-14,1.0905701590210318e-10
7,4.746900045774088e-07,0.0,1.2562294130422032e-06,2.3092638912203256e-13,0.016984305827528294,PASS,no_biactive,none,Solve_Succeeded,0.42097505999981877,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339200921999516,9.095290687769849,7.94944283025465e-14,1.0905701589695746e-10
8,1.4240700137322264e-07,0.0,1.2562294273843438e-06,3.778310997404333e-11,0.016984305827354516,PASS,no_biactive,none,Solve_Succeeded,0.42048189299976,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339610137018778,9.095462835879028,7.949443601744711e-14,1.0905702965711693e-10
9,4.272210041196679e-08,0.0,1.2562294132303193e-06,3.9043435151597805e-11,0.016984305827240108,PASS,no_biactive,none,Solve_Succeeded,0.42155199799981347,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1834072169136959,9.095531791265545,7.94944320650353e-14,1.0905702293874204e-10
10,3.844989037077011e-09,0.0,1.2562294131363842e-06,4.5740522480741674e-11,0.016984305827101632,PASS,no_biactive,none,Solve_Succeeded,0.4204545600000529,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18345227102066305,9.095561664665771,7.949443023894435e-14,1.0905701966183526e-10
