iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.019958335396197593,0.0,0.019958335440906173,2.599814739411265e-10,-18.400030958638173,PASS,no_biactive,none,Solve_Succeeded,0.0034051760003421805,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
2,0.015966668316958074,0.0,0.01596667287552257,4.5585644946333215e-09,-18.4000247669146,PASS,no_biactive,none,Solve_Succeeded,0.0034742900002129318,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
3,0.01277333465356646,0.0,0.012773334697588578,5.764070372956153e-11,-18.400019813530964,PASS,no_biactive,none,Solve_Succeeded,0.003538442000262876,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
4,0.010218667722853169,0.0,0.010218667797785352,7.493218372178756e-11,-18.4000158508247,PASS,no_biactive,none,Solve_Succeeded,0.0035768520001511206,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
5,0.008174934178282535,0.0,0.008174934185014547,3.689005162986287e-11,-18.40001268065974,PASS,no_biactive,none,Solve_Succeeded,0.003279775000009977,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
6,0.006539947342626028,0.0,0.006539947378545825,5.820766091346741e-11,-18.40001014452776,PASS,no_biactive,none,Solve_Succeeded,0.003941773999940779,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
7,0.005231957874100823,0.0,0.005231957876858259,2.3609633503254363e-11,-18.400008115622164,PASS,no_biactive,none,Solve_Succeeded,0.0032239270003628917,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
8,0.004185566299280658,0.0,0.004185566301045418,1.8887706894677044e-11,-18.400006492497756,PASS,no_biactive,none,Solve_Succeeded,0.003574198000023898,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
9,0.002092783149640329,0.0,0.002092783188477531,5.820766091346741e-11,-18.40000324624883,PASS,no_biactive,none,Solve_Succeeded,0.00313611999990826,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
10,0.0010463915748201646,0.0,0.0010463916040487848,2.9228620175222875e-11,-18.400001623124425,PASS,no_biactive,none,Solve_Succeeded,0.0032480999998369953,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
11,0.0005231957874100823,0.0,0.000523195786922948,2.360963216742769e-12,-18.400000811562187,PASS,no_biactive,none,Solve_Succeeded,0.003659513999991759,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
12,0.00033484530394245276,0.0,0.00033484531231664375,8.374190989084151e-12,-18.40000051939984,PASS,no_biactive,none,Solve_Succeeded,0.0033934939997379843,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
13,0.00016742265197122638,0.0,0.00016742268772031315,3.574908676918544e-11,-18.4000002596999,PASS,no_biactive,none,Solve_Succeeded,0.0030905429998711043,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
14,8.371132598561319e-05,0.0,8.371134704239216e-05,2.1056778973997485e-11,-18.400000129849936,PASS,no_biactive,none,Solve_Succeeded,0.0036656490001405473,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
15,4.1855662992806595e-05,0.0,4.185568116578701e-05,1.8172980413805155e-11,-18.400000064924974,PASS,no_biactive,none,Solve_Succeeded,0.0037283759997990273,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
16,2.0927831496403297e-05,0.0,2.0927837142264314e-05,5.645861016656713e-12,-18.400000032462515,PASS,no_biactive,none,Solve_Succeeded,0.0034453510002094845,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
17,1.3393812157698112e-05,0.0,1.3393815594024528e-05,3.4363264153397435e-12,-18.40000002077601,PASS,no_biactive,none,Solve_Succeeded,0.0031441649998669163,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
18,6.696906078849056e-06,0.0,6.696982850115532e-06,7.677126647563653e-11,-18.400000010388,PASS,no_biactive,none,Solve_Succeeded,0.003052961999856052,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
19,3.348453039424528e-06,0.0,3.348456159132131e-06,5.820766091346741e-11,-18.40000000519402,PASS,no_biactive,none,Solve_Succeeded,0.0030551539998668886,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
20,2.1430099452316983e-06,0.0,2.143011203223529e-06,5.820766091346741e-11,-18.40000000332418,PASS,no_biactive,none,Solve_Succeeded,0.0034654159999263356,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
