iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0049492939132376925,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014810289999331872,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.003959435130590154,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014156209999782732,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.001979717565295077,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014650210000581865,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0009898587826475385,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001363562999813439,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0006335096208944247,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013509999998859712,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.0005068076967155398,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001491321999765205,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.0002534038483577699,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014010899999448156,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.00012670192417888496,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014295129999482015,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,8.108923147448638e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.00155299699963507,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,6.487138517958911e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014275359999373904,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,3.2435692589794554e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014191679997566098,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,1.6217846294897277e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014817290002611117,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,1.037942162873426e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014939170000616286,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,8.303537302987408e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014277800000854768,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,4.151768651493704e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.002153908999844134,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,2.075884325746852e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014566900003956107,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,1.3285659684779854e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0017368750000059663,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
18,1.0628527747823885e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0015173850001701794,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
19,5.314263873911942e-07,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0015899320001153683,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
20,2.657131936955971e-07,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014303980001386662,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
