iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,4.58146304586727e-05,0.0,4.111967287774021e-05,4.529637097263478e-10,-827.8594914933424,PASS,no_biactive,none,Solve_Succeeded,14.889261761999478,0,initial,2145,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4512593470679399e-15,18.011531244637148,2.7889999900230926e-13,147.03509492155905
2,3.665170436693816e-05,0.0,3.368100215090568e-05,5.820766091346741e-11,-827.859491493342,PASS,no_biactive,none,Solve_Succeeded,0.1857674879993283,0,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.5986722180660846e-14,18.01153221837315,2.788941420171831e-13,147.03519157745455
3,2.932136349355053e-05,0.0,0.00023654729941532422,7.790459832790475e-08,-827.8594870218559,PASS,no_biactive,none,Solved_To_Acceptable_Level,0.6904941539996798,0,slow,103,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.403795857059242e-13,18.011533432720594,2.788999998590015e-13,78.0000199978375
4,2.3457090794840426e-05,0.0,0.0001481763565470632,8.876064327978384e-10,-827.8594842894269,PASS,no_biactive,none,Solve_Succeeded,0.17950368099991465,0,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1567879813867466e-11,18.011534946264735,2.7889999990505826e-13,78.00002486207471
5,1.8765672635872342e-05,0.0,0.00014301456244103497,2.9192204209493866e-10,-827.8594842519317,PASS,no_biactive,none,Solve_Succeeded,0.6141953700007434,0,slow,101,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.278358351780803e-13,18.011536831357404,2.788999999156641e-13,78.00003086955277
6,1.5012538108697874e-05,0.0,0.00011048348637930553,2.0750690055137966e-10,-827.8594840578065,PASS,no_biactive,none,Solve_Succeeded,0.16770005600028526,0,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.5546596228257296e-12,18.011539177120138,2.78899999920515e-13,78.00003827045317
7,1.20100304869583e-05,0.0,8.840063132251921e-05,3.304801214909503e-07,-827.8594840292328,PASS,no_biactive,none,Solved_To_Acceptable_Level,0.9816235529997357,0,slow,151,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.315339778082504e-13,18.011542092873547,2.7889999992014037e-13,78.00004735881936
8,9.60802438956664e-06,0.0,2.576049162506121e-05,1.893711853995228e-10,-827.8594839974921,PASS,no_biactive,none,Solve_Succeeded,0.13701109400062705,0,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.5156759834823596e-13,18.01265153654881,1.7055006431638618e-11,78.00357274061341
9,7.686419511653313e-06,0.0,2.202140996898332e-05,2.063487158920907e-10,-827.8594840134232,PASS,no_biactive,none,Solve_Succeeded,0.11677073999999266,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.511162428174346e-13,18.012221919300714,8.471018186766744e-12,78.0021856948283
10,6.149135609322651e-06,0.0,6.149135649096298e-06,294.0763667071159,-827.8594804810384,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.5947925000000396,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-9.497616536575087e-22,18.011527377521585,-7.105428663534337e-15,78.0
