iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,8.956749035698996e-05,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9770653540008425,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.2916706506405024e-13,1.128953285472261e-13,0.0,0.042387922745598085
2,7.165399228559198e-05,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9735743219998767,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.6403565479358227e-13,1.3440376946499797e-13,0.0,0.042387922745599854
3,3.582699614279599e-05,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.7351080109992836,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.58519789563014e-14,5.447387353986693e-14,0.0,0.042387922745603324
4,1.7913498071397995e-05,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.949551448999955,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.472162449111654e-14,2.108002378836123e-14,0.0,0.04238792274560509
5,1.1464638765694719e-05,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9240909459995237,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.5007323013481087e-14,1.3489068115698035e-14,0.0,0.042387922745605724
6,9.171711012555775e-06,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9302249980000852,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.911892313538852e-14,1.0790061569713818e-14,0.0,0.042387922745605947
7,4.5858555062778875e-06,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.7537220889998935,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.417963126805028e-15,1.2650153839339669e-14,0.0,0.04238792274560639
8,2.2929277531389438e-06,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9010672160002287,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.463227464925145e-15,3.029195292288319e-15,0.0,0.04238792274560664
9,1.4674737620089244e-06,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9163607430000411,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.424256926694009e-15,1.937818514747286e-15,0.0,0.04238792274560674
10,1.1739790096071395e-06,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.7920765899998514,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.468342401206755e-15,1.7309853056247496e-15,0.0,0.04238792274560673
11,5.869895048035698e-07,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9088675279999734,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.0070312838780737e-15,1.3436031781581066e-15,0.0,0.04238792274560679
12,2.934947524017849e-07,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9404634430002261,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.085444898585091e-16,3.1474732454849593e-16,0.0,0.04238792274560685
13,1.8783664153714235e-07,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9403384459992594,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.499088259765686e-16,4.2143758023902416e-16,0.0,0.042387922745606835
14,1.5026931322971388e-07,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9240055780001057,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.236446246620734e-16,3.3611049470800453e-16,0.0,0.04238792274560684
15,7.513465661485694e-08,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.9452257950006242,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6843833940664267e-16,1.6277845195981183e-16,0.0,0.04238792274560682
16,3.756732830742847e-08,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.8719046670003081,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1521326198996628e-16,1.1162594390254247e-16,0.0,0.042387922745606856
17,2.4043090116754225e-08,0.0,8.956749035698996e-06,9.769791950495936e-09,184.5203152793766,PASS,no_biactive,none,Solve_Succeeded,0.7073542680000173,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.731200180115651e-17,1.7623327172819516e-17,0.0,0.042387922745606835
