iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.1,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0035496700002113357,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.05,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016488910000589385,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.025,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016258159998869814,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0125,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015867329998400237,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.003125,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017623839999032498,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.0015625,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015510120001636096,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.00078125,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015913729998828785,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.000390625,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015438560003531165,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,9.765625e-05,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0014783080000597693,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,4.8828125e-05,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001540909000141255,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,2.44140625e-05,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015385620004053635,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,1.220703125e-05,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015133940000850998,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,3.0517578125e-06,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015031150001050264,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,1.52587890625e-06,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015905989998827863,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,7.62939453125e-07,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015493369996875117,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,3.814697265625e-07,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.003367818999777228,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,9.5367431640625e-08,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015501370003221382,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
18,4.76837158203125e-08,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015126170001167338,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
19,2.384185791015625e-08,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015383289996862004,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
20,1.1920928955078126e-08,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015583700001116085,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
21,2.9802322387695314e-09,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015285030003724387,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
22,1.4901161193847657e-09,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015165260001595016,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
23,7.450580596923829e-10,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015862070004004636,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
24,3.7252902984619143e-10,0.0,12.299999999999997,256.4444444444444,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015156610002122761,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
25,9.313225746154786e-11,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0014620470001318608,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
26,4.656612873077393e-11,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016987059998427867,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
27,2.3283064365386964e-11,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0015381080002043745,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
28,1.1641532182693482e-11,0.0,12.299999999999997,256.44444444444446,-8049.377777777776,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017353620000903902,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
29,2.9103830456733705e-12,0.0,12.300001331945337,256.44444444444446,-8049.377777777784,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0038248329997259134,0,adaptive_jump,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
30,1.4551915228366853e-12,0.0,8.520348753048113,1.4210854715202004e-14,-8049.377830241684,PASS,no_biactive,none,Solve_Succeeded,0.05423343099982958,0,slow,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0006606727877068722,0.0011827275255069905
31,7.275957614183426e-13,0.0,8.520355182477857,256.44444444444446,-8049.377777777812,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.003489274999992631,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
32,3.637978807091713e-13,0.0,8.520355182477857,256.4444444444439,-8049.377777777812,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001744281999890518,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
33,1.8189894035458566e-13,0.0,8.520355182477857,256.4444444444439,-8049.377777777812,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.002270415000111825,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
34,9.094947017729283e-14,0.0,8.520355183474482,256.44444444444434,-8049.377777777781,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.010084385000027396,0,post_stagnation_fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
35,2.2737367544323207e-14,0.0,8.52049542973193,8.824940778140444e-12,-8049.377830241617,PASS,no_biactive,none,Solve_Succeeded,0.05160719600007724,0,adaptive_jump,55,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0006606727877017853,0.0011827474631498761
36,1.1368683772161604e-14,0.0,8.520388811220311,256.4444444444444,-8049.377777777777,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.00894004900010259,0,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
37,1e-14,0.0,8.520496733997295,1.508855341588592e-14,-8049.377830241617,PASS,no_biactive,none,Solve_Succeeded,0.046526051000000734,0,post_stagnation_fast,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.00066067278770174,0.0011827476404352917
38,1e-14,0.0,8.520402890099867,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0045980230001987366,0,post_stagnation_fast,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
