iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.1,0.0,0.08226028131348677,5.033727118670958e-11,1.2391596986486348e-19,PASS,PASS,none,Solve_Succeeded,60.268493431000024,2,initial,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.695340555306886e-11,8.8176265739448e-09,-4.699324528358874e-13,9.6772987214724e-11
2,0.05,0.0,0.035753530984203204,8.742324765629934e-12,3.113162259435229e-20,PASS,no_biactive,none,Solve_Succeeded,26.27171315600026,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.268741078723697e-11,1.2046059712209527e-08,3.277103368234471e-13,4.281617844606256e-11
3,0.025,0.0,0.02412425818930639,4.165738117028724e-10,3.053501917616373e-18,PASS,no_biactive,none,Solve_Succeeded,38.927382142999704,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.330470458856377e-11,1.289174159990713e-07,-2.0023130186121402e-11,9.958905133959955e-11
4,0.0125,0.0,0.011733721725452643,5.339264800684315e-10,1.492772633877517e-18,PASS,PASS,none,Solve_Succeeded,18.145206071998473,10,slow,9,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.222651044537158e-11,9.043980142414145e-08,-7.253121607633599e-11,1.9020748648131646e-10
5,0.00625,0.0,0.005653036179135451,1.4843736109519849e-10,3.3065506902200073e-19,PASS,PASS,none,Solve_Succeeded,19.97614580699883,28,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.409046967699947e-11,1.1153379410432237e-07,-2.5758937313003564e-12,3.692582933783889e-10
6,0.003125,0.0,0.0029487235286183426,6.253113285894818e-10,4.7503912660402815e-18,PASS,PASS,none,Solve_Succeeded,26.696814973000073,66,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.860128503685286e-11,7.397490755553148e-07,-9.23625740609208e-11,7.440502191907389e-10
7,0.0015625,0.0,0.001558790401292374,7.164114739540827e-10,4.252948371462368e-15,PASS,PASS,none,Solve_Succeeded,28.252332216001378,66,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.435325545277261e-11,9.300900052043296e-06,-1.6649295167910912e-10,7.131401837377223e-09
8,0.00078125,0.0,0.0007812599968420669,6.237371957904664e-10,0.005482860240374977,PASS,PASS,none,Solve_Succeeded,56.63892191600098,50,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.397732101728149e-11,7.498530882143259,-1.6664848008729652e-10,0.00863544853259239
9,0.000390625,0.0,0.00039063499845926655,7.737149547893014e-10,0.015658592859206538,PASS,PASS,none,Solve_Succeeded,42.75057711599948,40,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.394331277494436e-11,13.51907704621214,3.429412959325243e-13,0.01563915817960206
10,0.0001953125,0.0,0.0001953224989168284,1.3243321038110614e-08,0.02501855719388062,PASS,PASS,none,Solve_Succeeded,37.82523659000071,30,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.396855251275502e-11,13.43771252065705,3.4337809945752266e-13,0.020752506254354514
11,9.765625e-05,0.0,9.766624944299176e-05,6.058288740844794e-09,0.04276767926167777,PASS,PASS,none,Solve_Succeeded,37.66582549300074,24,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.379726804235613e-11,38.69768125760671,3.431517124322756e-13,0.03513090183161628
12,4.8828125e-05,0.0,4.883812473774205e-05,1.633301285086414e-10,0.06314805590998435,PASS,PASS,none,Solve_Succeeded,41.46437984000113,18,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.359275371681935e-11,53.789138808610375,3.4323273933068757e-13,0.048701429345485665
13,2.44140625e-05,0.0,2.442406227823917e-05,6.365132865226997e-10,0.07692799044425372,PASS,PASS,none,Solve_Succeeded,41.53807717699965,15,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.349395935420452e-11,61.78364423891675,3.4336965653694926e-13,0.05597752257493966
14,1.220703125e-05,0.0,1.221703109428459e-05,7.053890804797902e-10,0.08496883342591545,PASS,PASS,none,Solve_Succeeded,45.24779309800033,11,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.344467297637175e-11,65.99368043282786,3.4350001159244293e-13,0.05987228611157155
15,6.103515625e-06,0.0,6.113515509292744e-06,2.846456403915454e-11,0.08942523095952229,PASS,PASS,none,Solve_Succeeded,42.98946758400052,9,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.341928473534202e-11,68.16865888662676,3.4363265020316204e-13,0.06191787288150136
16,3.0517578125e-06,0.0,3.061757714055228e-06,7.97315991007963e-10,0.09182406905103285,PASS,PASS,none,Solve_Succeeded,42.044372336999004,6,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.340601931578755e-11,69.29139568267365,3.4374463910528717e-13,0.06298799187332253
17,1.52587890625e-06,0.0,1.5358788148449615e-06,9.869639643316636e-10,0.09308560972582353,PASS,PASS,none,Solve_Succeeded,41.43869435299894,6,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.339966111281797e-11,69.97001849610957,3.438056278628113e-13,0.06363318163075192
