iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0049492939132376925,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0019965880001109326,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.0024746469566188463,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013334880000002158,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.0012373234783094231,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013330739998309582,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0006186617391547116,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013373880001381622,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.0001546654347886779,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014887610000187124,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,7.733271739433895e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013105210000503575,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,3.866635869716947e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013730949999626318,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,1.9333179348584736e-05,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013613469996016647,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,4.833294837146184e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0016956409999693278,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,2.416647418573092e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001630177000151889,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,1.208323709286546e-06,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0013779350001641433,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,6.04161854643273e-07,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014152740000099584,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,1.5104046366081825e-07,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0014734739997948054,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,7.552023183040913e-08,0.0,0.0004949293913237693,8.06485989102157e-09,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001371078999909514,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
