iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.00999682911365731,0.0,0.009996839111917396,1.2744119772404361e-11,15.516874611029602,PASS,no_biactive,none,Solve_Succeeded,0.022810565999861865,0,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7719242217801548e-12,4.633469228122624,1.695215197621827e-16,8.54816600398382
2,0.004998414556828655,0.0,0.004998424555080018,1.1326293434583789e-13,15.567241162812264,PASS,no_biactive,none,Solve_Succeeded,0.02250182500029041,0,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.771092934894438e-12,4.634562474945796,1.2569493595928146e-15,8.672946517932774
3,0.0024992072784143274,0.0,0.002499217276661371,3.919396391621151e-10,15.59248432506289,PASS,no_biactive,none,Solve_Succeeded,0.01900053300005311,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7483777002410994e-10,4.635071320161023,1.1579255770306896e-15,8.736184040297069
4,0.0012496036392071637,0.0,0.0012496136374520385,3.920301494936449e-10,15.60512124848264,PASS,no_biactive,none,Solve_Succeeded,0.016360820999580028,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.8873614241219703e-10,4.63531648747572,1.6260084607835006e-15,8.76801893203349
5,0.0006248018196035819,0.0,0.0006248118164031307,4.028420364491451e-10,15.611443591366987,PASS,no_biactive,none,Solve_Succeeded,0.016835541000091325,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.9683307924958344e-10,4.635436814971823,2.106994235672437e-15,8.783990959199913
6,0.00031240090980179093,0.0,0.00031241090804508,8.4160779793702e-11,15.614605738614696,PASS,no_biactive,none,Solve_Succeeded,0.017785738999918976,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.086110606631591e-11,4.635496398218968,4.898435140071828e-15,8.791990669160832
7,0.00015620045490089546,0.0,0.00015621045314391212,5.640524332159349e-12,15.616187056958186,PASS,no_biactive,none,Solve_Succeeded,0.02367165899977408,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.76257584849925e-12,4.635526104471698,1.0783993811187575e-15,8.795993992239307
8,7.810022745044773e-05,0.0,0.0009218897303127792,3.5976576942152103e-12,15.616977777385616,PASS,no_biactive,none,Solve_Succeeded,0.04125073400018664,0,fast,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.753808731895909e-12,4.635541012799823,-4.796787957560189e-17,8.797996565810067
9,3.9050113725223866e-05,0.0,3.905011372522387e-05,5.562665607642123,15.617373503110588,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.009165237000161142,0,slow,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635548176975985,0.0,8.798998389499708
10,9.762528431305967e-06,0.0,9.762528431306458e-06,5.562666402463147,15.617670041485916,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08388503100013622,0,superlinear,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.1789728347740954e-22,4.635553711465162,0.0,8.799749583928383
11,2.4406321078264916e-06,0.0,2.4406321078264916e-06,5.562666600650321,15.617744176978238,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.08465601900024922,0,superlinear,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.7031320611407937e-24,4.635555094567609,0.0,8.79993739514162
12,6.101580269566229e-07,0.0,6.101580269566229e-07,5.562666650164767,15.617762710907483,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.010683188999792037,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.1937039255788194e-24,4.635555440310758,0.0,8.799984348732876
