iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,10.0,0.0,12.300000000000004,256.4444444444444,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.003990148999946541,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,5.0,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017307090001850156,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,2.5,0.0,12.300000000000004,256.4444444444444,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017116389999500825,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,1.25,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017011050003929995,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.3125,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016827300000841205,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,0.15625,0.0,12.300000000000004,256.4444444444444,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016783870000836032,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,0.078125,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016286940003737982,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,0.0390625,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016193910000765754,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,0.009765625,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001634396000099514,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,0.0048828125,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016200099998968653,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,0.00244140625,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016789080000307877,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
12,0.001220703125,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016444739999315061,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
13,0.00030517578125,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016853930001161643,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
14,0.000152587890625,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016955209998741338,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
15,7.62939453125e-05,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016209020000133023,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
16,3.814697265625e-05,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0018035449998023978,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
17,9.5367431640625e-06,0.0,12.300000000000004,256.4444444444444,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016913999997996143,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
18,4.76837158203125e-06,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.001645570000164298,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
19,2.384185791015625e-06,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0017298840002695215,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
20,1.1920928955078125e-06,0.0,12.300000000000004,256.44444444444446,-8049.377777777778,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.0016410230000474257,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
