iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,10.0,0.0,7.892736455065609,4.25804184423682e-11,1.0691864677497065e-21,PASS,PASS,none,Solve_Succeeded,17.31026222899891,54,initial,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.904363983383564e-12,1.3523687943754236e-10,1.5604952729757473e-13,4.467458205505824e-12
2,5.0,0.0,4.915826570475486,5.519413802086009e-11,1.80823028758118e-21,PASS,no_biactive,none,Solve_Succeeded,17.283295257000646,0,slow,10,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.612418717121405e-11,1.4521698039424713e-10,-2.6086570563998575e-12,1.1134991512588155e-11
3,2.5,0.0,1.8030862577546731,7.269606856829017e-10,1.756049684811239e-22,PASS,no_biactive,none,Solve_Succeeded,18.251420380000127,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.228479171751369e-11,4.2462357217423773e-10,-6.302024347952645e-13,5.802277473237381e-13
4,1.25,0.0,1.2126950599514557,6.26661314284898e-10,1.2957127667321034e-20,PASS,no_biactive,none,Solve_Succeeded,12.735212685998704,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.007126024825966e-11,2.8922650711671164e-10,-4.232481542417145e-12,8.24056081680691e-12
5,0.625,0.0,0.5811914975307794,5.451226417029944e-10,7.675296185187265e-19,PASS,no_biactive,none,Solve_Succeeded,19.82016546399973,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.887394690114445e-10,7.129503728707096e-08,-1.5172600703984718e-10,1.09141188750948e-10
6,0.3125,0.0,0.2958036321262834,3.9760816212945273e-10,1.158189984274095e-17,PASS,no_biactive,none,Solve_Succeeded,19.563746228999662,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.864099743922844e-10,2.5194923318112047e-07,-7.225576362512405e-11,1.5632086783074374e-10
7,0.15625,0.0,0.11870395223086594,2.0821990695018474e-11,6.5524259096172985e-21,PASS,no_biactive,none,Solve_Succeeded,19.507186217000708,0,fast,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.082025396546674e-11,4.51793128090787e-09,1.6864975599436277e-14,1.3408708400235213e-11
8,0.0390625,0.0,0.024861326495658892,4.457228463635962e-10,7.012577215201323e-20,PASS,PASS,none,Solve_Succeeded,23.82869275899975,3,superlinear,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.327121867071712e-11,1.6330212553760564e-08,3.1336948378955415e-13,5.4878949337074086e-11
9,0.01953125,0.0,0.017449204684551134,9.478373069654126e-10,7.77295330400773e-20,PASS,PASS,none,Solve_Succeeded,26.97715038699971,6,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.34644169267783e-11,3.823687207030359e-08,-8.837134021444848e-12,1.1514113656639936e-10
10,0.009765625,0.0,0.009169489232903323,1.3297016583240236e-10,1.2253272386175307e-19,PASS,PASS,none,Solve_Succeeded,21.214005703999646,43,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.561967659774075e-11,8.611926219208128e-08,-2.4464547535300133e-12,2.394131414871266e-10
