iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.019958335396197593,0.0,0.019958335440906173,2.599814739411265e-10,-18.400030958638173,PASS,no_biactive,none,Solve_Succeeded,0.003457092999951783,0,initial,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
2,0.009979167698098796,0.0,0.009979174813115456,7.115016659176021e-09,-18.400015479321898,PASS,no_biactive,none,Solve_Succeeded,0.003326048999952036,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
3,0.004989583849049398,0.0,0.004989583811230569,2.2515883321854624e-11,-18.40000773965988,PASS,no_biactive,none,Solve_Succeeded,0.003183779000210052,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
4,0.002494791924524699,0.0,0.0024947919134485435,1.1257945680964256e-11,-18.400003869829973,PASS,no_biactive,none,Solve_Succeeded,0.003064843999936784,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
5,0.0012473959622623495,0.0,0.0012473959598843555,5.628973802534356e-12,-18.400001934915,PASS,no_biactive,none,Solve_Succeeded,0.0032550139999329986,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,33.99999999999999,0.0,0.0
6,0.0006236979811311748,0.0,0.0006236980263118942,4.518071940878832e-11,-18.400000967457498,PASS,no_biactive,none,Solve_Succeeded,0.003265435000002981,0,slow,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
7,0.0003118489905655874,0.0,0.00031184899464057405,4.074986658872404e-12,-18.400000483728736,PASS,no_biactive,none,Solve_Succeeded,0.003266336000024239,0,fast,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
8,7.796224764139685e-05,0.0,7.79622925651447e-05,4.4923747854292914e-11,-18.40000012093217,PASS,no_biactive,none,Solve_Succeeded,0.0031289999999444262,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
9,1.949056191034921e-05,0.0,1.9490586992154548e-05,2.508180533587561e-11,-18.40000003023309,PASS,no_biactive,none,Solve_Succeeded,0.00322112300000299,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.00000000000001,0.0,0.0
10,4.872640477587303e-06,0.0,4.872656425628692e-06,1.5948041389247448e-11,-18.400000007558265,PASS,no_biactive,none,Solve_Succeeded,0.003298763999964649,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
11,1.2181601193968257e-06,0.0,1.218194002325479e-06,3.3882928653340775e-11,-18.40000000188961,PASS,no_biactive,none,Solve_Succeeded,0.00319926499992107,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
12,3.0454002984920643e-07,0.0,3.045400298384942e-07,2.842170943040401e-14,-18.400000000472374,PASS,no_biactive,none,Solve_Succeeded,0.0032297110001309193,0,superlinear,2,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,34.0,0.0,0.0
