iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9076299696753259,1.6987932282434568e-10,5.2004706478925563e-20,PASS,PASS,none,Solve_Succeeded,22.27087473199998,5,initial,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.5831142432690685e-11,1.0293258356755145e-09,-3.0832693911833464e-11,2.8841396778509113e-11
2,0.5,0.0,0.4129879673966484,3.202795404240782e-10,2.0906984269236857e-20,PASS,no_biactive,none,Solve_Succeeded,18.47059589600002,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.885837260225878e-11,9.168246262726326e-10,-5.985269340314603e-12,1.6039950410008053e-11
3,0.25,0.0,0.16284355973421244,1.0449490062046653e-11,2.6199678238375525e-21,PASS,no_biactive,none,Solve_Succeeded,25.099254617999975,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.886817420201562e-11,2.6952336735483406e-09,2.888569240474766e-13,8.78229848731353e-12
4,0.125,0.0,0.10613637380931037,1.0695126882930897e-10,7.15254448505478e-20,PASS,no_biactive,none,Solve_Succeeded,11.742151173999957,0,slow,7,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.121570554217673e-11,1.6214407932555597e-08,-2.595983120606435e-12,1.928030878358064e-11
5,0.0625,0.0,0.052708769486416986,1.738456274449687e-10,4.6453411652336815e-19,PASS,no_biactive,none,Solve_Succeeded,13.136191769999982,0,slow,8,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.359944824981114e-11,1.658223232477266e-08,-1.6830417737742132e-11,3.873735774784945e-11
6,0.03125,0.0,0.029020566586733076,3.470126122380278e-10,3.939440578748826e-19,PASS,no_biactive,none,Solve_Succeeded,17.020149288000027,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.708411401246546e-11,3.609777829227233e-08,-4.070013420307187e-12,7.315216354976633e-11
7,0.015625,0.0,0.013914570317944481,7.366440956260803e-11,2.7765924510418887e-20,PASS,PASS,none,Solve_Succeeded,19.742887174000032,25,fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.290130868462281e-11,4.745691148638713e-08,-6.853116842116352e-12,1.3730245085611323e-10
8,0.0078125,0.0,0.0076105121561794485,1.8812122661214926e-10,1.935397352783557e-18,PASS,PASS,none,Solve_Succeeded,21.067914883999947,55,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3970302391783536e-10,3.613379250995023e-07,-6.658474492275774e-12,5.15414177060449e-10
9,0.00390625,0.0,0.003051549075078524,5.534459677199399e-10,2.472095239557033e-19,PASS,PASS,none,Solve_Succeeded,34.54161255899999,57,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.392243739827392e-11,1.5341278503649546e-07,3.338199989726371e-13,5.455476483425312e-10
10,0.001953125,0.0,0.0018977083176654425,4.781909288344001e-10,3.555879151131241e-17,PASS,PASS,none,Solve_Succeeded,22.56652618399994,57,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.216032830721866e-11,5.658275070032597e-07,-5.542278223148673e-11,1.0933903308088111e-09
