iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.02566688995767963,0.0,0.02566686867992588,6.716814791638298e-10,-5.000042911881566,PASS,no_biactive,none,Solve_Succeeded,0.02043574399976933,0,initial,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.997668837332183e-11,4.0000306126928145,-2.5110341155203633e-10,3.757122281856478e-09
2,0.012833444978839814,0.0,0.012833432457640022,1.2431916098575922e-10,-26.000006446352515,PASS,no_biactive,none,Solve_Succeeded,0.07063648499979536,0,slow,46,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.664588251442908e-11,18.00000442423489,4.866323641228739e-12,9.079039875669259e-10
3,0.006416722489419907,0.0,0.006416679546899168,9.814882519746765e-10,-26.000001751950577,PASS,no_biactive,none,Solve_Succeeded,0.026376514000276075,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6665692872248075e-11,18.00002152854174,-5.572472717502209e-10,3.2910419447158346e-09
4,0.0032083612447099535,0.0,0.003208371238982914,2.197023026831099e-12,-26.008586788890902,PASS,PASS,none,Solve_Succeeded,0.06638736000013523,1,slow,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5530613454805617e-11,18.00001790444926,2.5634274750625057e-12,0.002872311368041896
5,0.0016041806223549768,0.0,0.0016041806223551268,28.00000892269162,-26.004285451434427,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.007070343000123103,1,slow,4,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000446134581,0.0,0.001431033151939444
6,0.0008020903111774884,0.0,0.0008020903112630647,28.000002227294424,-26.002140815160452,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.00550995999992665,1,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000001113647212,0.0,0.0007142414233183447
7,0.0004010451555887442,0.0,0.0004010451555938014,28.000000556401865,-26.001069930483524,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.0053199339999991935,1,slow,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000278200933,0.0,0.00035680246646881993
8,0.00010026128889718605,0.0,0.00010026128889883408,28.00000003475536,-26.000267393224554,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.005373474999942118,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000001737768,0.0,8.914100495500265e-05
9,2.5065322224296512e-05,0.0,2.506532222436521e-05,28.0000000021719,-26.00006684272085,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.0056422249999741325,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000000108595,0.0,2.2281527493195183e-05
10,6.266330556074128e-06,0.0,6.266330556056577e-06,28.000000000135742,-26.000016710331167,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.005277368999941245,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.00000000006787,0.0,5.570149170201667e-06
11,1.566582639018532e-06,0.0,1.566582639128612e-06,28.000000000008484,-26.000004177560974,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.005347365000034188,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000000004242,0.0,1.3925227492236782e-06
12,3.91645659754633e-07,0.0,3.916456597125975e-07,28.000000000000533,-26.00000104438888,PASS,PASS,none,Search_Direction_Becomes_Too_Small,0.00534271299966349,1,superlinear,3,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,18.000000000000266,0.0,3.481297782855836e-07
