iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.00999963185029602,0.0,0.009999641848556111,1.3077782959800066e-11,15.516846413069354,PASS,no_biactive,none,Solve_Succeeded,0.026946210999994946,0,initial,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7719291537135712e-12,4.6334685863563845,1.7339758512313503e-16,8.54809665894716
2,0.00499981592514801,0.0,0.004999825923399389,1.379939302919172e-13,15.567227019696038,PASS,no_biactive,none,Solve_Succeeded,0.027993386999696668,0,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7744846386831738e-12,4.63456218263836,1.1657064523265192e-15,8.672911219372372
3,0.002499907962574005,0.0,0.0024999179608210494,5.513664559317747e-10,15.59247724211113,PASS,no_biactive,none,Solve_Succeeded,0.023299649999898975,0,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.9540242597713095e-10,4.635071180771445,1.2115070119127025e-15,8.736166230361246
4,0.0012499539812870024,0.0,0.0012499639795318961,5.559813357658268e-10,15.605117704114477,PASS,no_biactive,none,Solve_Succeeded,0.01981845099999191,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.52686602519629e-10,4.635316417946655,1.1620645282231923e-15,8.768009986688707
5,0.0006249769906435012,0.0,0.0006249869718954609,7.745368507097217e-10,15.61144181929518,PASS,no_biactive,none,Solve_Succeeded,0.0222154449993468,0,slow,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.340660347280666e-11,4.635437043747758,9.88157570325221e-15,8.783986631241547
6,0.0003124884953217506,0.0,0.0003124984935648652,5.974579073878353e-11,15.614604851976882,PASS,no_biactive,none,Solve_Succeeded,0.02226772899939533,0,slow,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.131309156236158e-11,4.635496382142854,4.963020569013724e-15,8.791988424943122
7,0.0001562442476608753,0.0,0.0001562542416014949,6.4955309506940534e-12,15.616186613811514,PASS,no_biactive,none,Solve_Succeeded,0.028729245000249648,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.049011530028085e-12,4.63552639142225,5.114301628191659e-16,8.795993040610776
8,7.812212383043765e-05,0.0,7.812212383043767e-05,5.562664542123459,15.616977905859262,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011795368000093731,0,fast,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.1010783774877645e-23,4.635540788338557,0.0,8.797996360900585
9,1.9530530957609413e-05,0.0,1.953053095760945e-05,5.562666137742775,15.617571139296219,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.01454159900004015,0,superlinear,6,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.635551865970779,0.0,8.79949903641446
10,4.882632739402353e-06,0.0,4.882632739402361e-06,5.562666534573919,15.61771945125097,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.010933634000139136,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.6466036692621823e-24,4.635554633298057,0.0,8.799874755739918
11,1.2206581848505883e-06,0.0,1.2206624703401755e-06,5.562666633652119,15.617756529464424,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.012816487999771198,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.495565801792737e-24,4.635555324999849,0.0,8.799968688724737
12,3.051645462126471e-07,0.0,3.051645462126471e-07,5.562666658413568,15.617765799031835,PASS,no_biactive,none,Search_Direction_Becomes_Too_Small,0.011224975000004633,0,superlinear,5,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.1052700559750776e-24,4.63555549791717,0.0,8.799992172168045
