iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,9.877361484986511e-05,0.0,9.878360758016633e-05,1.339689470469807e-10,-32.4567183261825,PASS,PASS,none,Solve_Succeeded,0.39987286699988545,1,initial,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.654022296977906e-13,0.014107095921824105,3.280502834534861e-10,90.80484658126441
2,4.9386807424932556e-05,0.0,4.939680016780999e-05,9.638475954865111e-11,-32.455425102091915,PASS,PASS,none,Solve_Succeeded,0.38311454500035325,1,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.655268810710394e-13,0.01410093915764232,3.2824192026407867e-10,90.81972122095573
3,2.4693403712466278e-05,0.0,2.4703393312509993e-05,1.6690648863004753e-10,-32.45477804993195,PASS,PASS,none,Solve_Succeeded,0.3550233500000104,1,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.674607416954982e-13,0.014097917379943667,4.707082807608428e-10,90.82719880687914
4,1.2346701856233139e-05,0.0,1.2356694608360823e-05,8.822098607197404e-11,-32.45445425249469,PASS,PASS,none,Solve_Succeeded,0.3544768629999453,1,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.65364675350526e-13,0.014096411047934796,3.2811744869492444e-10,90.83094575871002
5,6.1733509281165694e-06,0.0,9.378919702440845e-06,4.3074244171492637e-10,-32.45429229930703,PASS,PASS,none,Solve_Succeeded,0.7184318289996554,1,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.654159019301713e-13,0.014095812283315632,3.2809018628667427e-10,90.83284944812482
6,3.0866754640582847e-06,0.0,9.99944342651275e-06,6.673751135055639e-10,-32.45421132975947,PASS,PASS,none,Solve_Succeeded,1.1135273800000505,1,slow,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.653959661023977e-13,0.01409578328566201,3.2809158273438614e-10,90.83384944353807
7,1.5433377320291424e-06,0.0,9.330773000989062e-06,2.8368418725222e-12,-32.45417065424215,PASS,no_biactive,none,Solve_Succeeded,0.47338202099990667,0,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.2875850898863697e-12,0.014237603519179888,3.2152146997898094e-08,90.85891505547373
8,7.716688660145712e-07,0.0,9.014312848089508e-06,2.1449864107125904e-10,-32.45415068116563,PASS,PASS,none,Solve_Succeeded,0.6043202240002756,1,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.654837219378931e-13,0.01409763150358993,3.280929203054274e-10,90.83488453607512
9,3.858344330072856e-07,0.0,9.757200658186884e-06,2.0762058738910127e-11,-32.45414056385483,PASS,PASS,none,Solve_Succeeded,0.6889568890001101,1,slow,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.2680487083707525e-13,0.014100371594240036,3.2809312046167317e-10,90.83534027126834
10,1.929172165036428e-07,0.0,9.680619331560804e-06,2.169997515011346e-10,-32.454132703711466,PASS,no_biactive,none,Solve_Succeeded,0.9409461930003999,0,post_stagnation_fast,40,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.363794652128548e-13,0.014186363128686024,2.717336259407514e-09,90.84512714084839
11,9.64586082518214e-08,0.0,9.429865175615599e-06,1.0390568711118113e-11,-32.45413150338526,PASS,no_biactive,none,Solve_Succeeded,0.45017158599966933,0,post_stagnation_fast,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0034129164650484e-13,0.014219136941818422,1.935982975277022e-09,90.8451120813203
12,2.411465206295535e-08,0.0,9.828180295702257e-06,9.324283567480052e-10,-32.45413059106898,PASS,no_biactive,none,Solve_Succeeded,0.3076505060003001,0,adaptive_jump,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.705087776149867e-14,0.014584244590232812,2.007515633140392e-09,90.85014160722238
13,1.2057326031477675e-08,0.0,9.855924029492761e-06,8.563141307149635e-10,-32.454130440971106,PASS,no_biactive,none,Solve_Succeeded,0.2542678159998104,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.5362658136008563e-12,0.014682866199134002,1.9055168579201428e-09,90.8504921820326
14,6.028663015738837e-09,0.0,9.897443060207292e-06,2.8610891433800134e-11,-32.45413038088174,PASS,no_biactive,none,Solve_Succeeded,0.35434700600035285,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.381595503919099e-14,0.014230145689014548,3.3931940465559194e-10,90.83759358219865
