iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.004949330016800889,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0012975560000541009,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
2,0.0024746650084004444,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.001161263999961193,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.0012373325042002222,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011371900000085589,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
4,0.0006186662521001111,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011637299999733841,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
5,0.00015466656302502778,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010630659999719683,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
6,7.733328151251389e-05,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011018429999580803,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
7,3.8666640756256944e-05,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010714469999584253,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
8,1.9333320378128472e-05,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011015759999963848,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
9,4.833330094532118e-06,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010755729999800678,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
10,2.416665047266059e-06,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0011222150000094189,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
11,1.2083325236330295e-06,0.0,0.0004949330016800889,8.202558632319779e-10,28.250000034641012,PASS,no_biactive,none,Solve_Succeeded,0.0010618319999480264,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
