iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.002170369403652488,0.0,1.2561949444385793e-06,3.803179993155936e-12,0.016984306445672094,PASS,no_biactive,none,Solve_Succeeded,0.6027193400004762,0,initial,37,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012503025978,9.094578847128698,7.949526355008199e-14,1.0905821520098045e-10
2,0.001085184701826244,0.0,1.2562293851998239e-06,2.853273173286652e-14,0.016984305827692257,PASS,no_biactive,none,Solve_Succeeded,0.2973869649995322,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901220610595,9.094574361175221,7.949442831474777e-14,1.0905701592488194e-10
3,0.000542592350913122,0.0,1.2562290518265305e-06,3.319566843629218e-14,0.016984305837853056,PASS,no_biactive,none,Solve_Succeeded,0.3045973669995874,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012296335197,9.094575557258395,7.969687364069313e-14,1.0933474711522292e-10
4,0.000271296175456561,0.0,1.2562294130509382e-06,2.7200464103316335e-14,0.01698430582769237,PASS,no_biactive,none,Solve_Succeeded,0.28996149399972637,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012459492623,9.094577747420644,7.949442830541848e-14,1.090570159096457e-10
5,0.0001356480877282805,0.0,1.2562292001440818e-06,2.66792810066363e-10,0.01698430583120112,PASS,no_biactive,none,Solve_Succeeded,0.3061592690000907,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012799203727,9.094582249232719,7.949648639278099e-14,1.0906044336153455e-10
6,3.391202193207012e-05,0.0,1.2562292653936216e-06,2.036006918615385e-10,0.016984305829525023,PASS,no_biactive,none,Solve_Succeeded,0.32245559399962076,0,adaptive_jump,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339014824644434,9.094608273654334,7.949531386458854e-14,1.0905848805446616e-10
7,1.695601096603506e-05,0.0,1.2562293990939111e-06,2.5979218776228663e-14,0.01698430582768231,PASS,no_biactive,none,Solve_Succeeded,0.34198930599995947,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339017524099302,9.094640921274538,7.949442830221867e-14,1.0905701590346375e-10
8,8.47800548301753e-06,0.0,1.2562289950434625e-06,4.085620730620576e-14,0.016984305839750954,PASS,no_biactive,none,Solve_Succeeded,0.3255437720008558,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339022958819015,9.094700417420913,7.973510090056013e-14,1.0938719042279116e-10
9,4.239002741508765e-06,0.0,1.256229388894873e-06,1.5944756626140588e-10,0.016984305827994695,PASS,no_biactive,none,Solve_Succeeded,0.3406949659993188,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833903369077931,9.094797933536768,7.949449392710429e-14,1.0905713169732201e-10
10,1.0597506853771913e-06,0.0,1.256229426990914e-06,3.5083047578154947e-14,0.016984305827587094,PASS,no_biactive,none,Solve_Succeeded,0.3479803099999117,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339097746925107,9.095108357043012,7.949442830240953e-14,1.0905701590099861e-10
11,5.298753426885957e-07,0.0,1.2562294269907102e-06,8.348877145181177e-14,0.01698430582753675,PASS,no_biactive,none,Solve_Succeeded,0.35897427200052334,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339181654158582,9.095268348096857,7.949442830251302e-14,1.0905701589764747e-10
12,2.6493767134429783e-07,0.0,1.2562294269905415e-06,1.878497357665765e-12,0.01698430582747848,PASS,no_biactive,none,Solve_Succeeded,0.4316896039999847,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339344497011334,9.095390519562665,7.949442830282593e-14,1.0905701589259223e-10
13,1.3246883567214892e-07,0.0,1.2562294000231296e-06,6.544587094481358e-11,0.016984305827606447,PASS,no_biactive,none,Solve_Succeeded,0.33531478799977776,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339651564185364,9.095469175000696,7.949444659721062e-14,1.0905704861917373e-10
14,3.311720891803723e-08,0.0,1.256229426988357e-06,1.1717293801893902e-11,0.0169843058272566,PASS,no_biactive,none,Solve_Succeeded,0.33143981200009875,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18341094685768233,9.095539019182143,7.949442830324541e-14,1.090570158688592e-10
15,1.6558604459018615e-08,0.0,1.2562294409372807e-06,8.277822871605167e-13,0.016984305827303883,PASS,no_biactive,none,Solve_Succeeded,0.3987173300001814,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1834235000849536,9.095551704250393,7.949442830287141e-14,1.0905701586025602e-10
16,8.279302229509307e-09,0.0,1.2562294269879006e-06,8.469003276445619e-12,0.016984305827210472,PASS,no_biactive,none,Solve_Succeeded,0.40512421799940057,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18343790234480223,9.09555817814825,7.9494428303085e-14,1.0905701585518915e-10
17,4.139651114754654e-09,0.0,1.2562294270849234e-06,4.5237813495191403e-11,0.01698430582710203,PASS,no_biactive,none,Solve_Succeeded,0.3880185309999433,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1834510534389391,9.095561431309882,7.949443024017497e-14,1.0905701966861118e-10
18,1.0349127786886634e-09,0.0,1.2562293859227843e-06,1.504014690567601e-10,0.016984305827417806,PASS,no_biactive,none,Solve_Succeeded,0.39380790799987153,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18346689403982497,9.09556373618891,7.949444384518155e-14,1.0905704542288598e-10
19,5.174563893443317e-10,0.0,1.2562293998704798e-06,1.503401847458008e-10,0.016984305827419735,PASS,no_biactive,none,Solve_Succeeded,0.38598785100020905,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1834703771814746,9.095564148047593,7.949444382959316e-14,1.0905704537768697e-10
20,2.5872819467216585e-10,0.0,1.256229385921535e-06,1.503073221442719e-10,0.016984305827418996,PASS,no_biactive,none,Solve_Succeeded,0.37879449800038856,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18347224009621443,9.095564354092609,7.949444382173705e-14,1.0905704535400081e-10
21,1.2936409733608293e-10,0.0,1.2562293998698418e-06,1.502904467542976e-10,0.016984305827419444,PASS,no_biactive,none,Solve_Succeeded,0.3821306079998976,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18347320437254494,9.095564457150214,7.949444381778522e-14,1.0905704534187225e-10
22,3.234102433402073e-11,0.0,1.2562293859211897e-06,1.502797886132612e-10,0.016984305827418736,PASS,no_biactive,none,Solve_Succeeded,0.37777593700047873,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18347394257262908,9.095564534456633,7.949444381481698e-14,1.0905704533265741e-10
23,1.6170512167010366e-11,0.0,1.2562293859211635e-06,1.502771240780021e-10,0.01698430582741922,PASS,no_biactive,none,Solve_Succeeded,0.37443779000022914,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18347406688300552,9.095564547341302,7.949444381432392e-14,1.0905704533111603e-10
24,8.085256083505183e-12,0.0,1.2562293859211866e-06,1.502771240780021e-10,0.016984305827420023,PASS,no_biactive,none,Solve_Succeeded,0.3903277199997319,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1834741291765276,9.095564553790023,7.949444381406703e-14,1.0905704533031897e-10
25,4.0426280417525915e-12,0.0,1.2562293859211777e-06,1.502753477211627e-10,0.016984305827419985,PASS,no_biactive,none,Solve_Succeeded,0.39891537099993,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18347416035791095,9.095564557011382,7.949444381394461e-14,1.0905704532994723e-10
