iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.002028160615006057,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.08219148099942686,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.747333780367363e-17,6.402195210286592e-17,0.0,0.15601516946204882
2,0.0010140803075030286,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07843624199995247,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-6.74128465647572e-17,1.086567271213143e-16,0.0,0.1560151694620506
3,0.0005070401537515143,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.08058493299995462,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.3936073738845214e-17,1.0593480084155568e-16,0.0,0.15601516946205152
4,0.00025352007687575714,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.0763016079999943,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.2787680709885377e-13,4.2602839269090523e-14,0.0,0.15601516946205193
5,6.338001921893929e-05,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07544253400010348,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.8575624232893154e-14,7.065430327972423e-15,0.0,0.1560151694620523
6,3.169000960946964e-05,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07699698499982333,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4289735828539856e-14,3.5265886149668093e-15,0.0,0.15601516946205235
7,1.584500480473482e-05,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07562637099999847,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.146616951381038e-15,1.7571315726276891e-15,0.0,0.15601516946205235
8,7.92250240236741e-06,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07925988800070627,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.5750575651654366e-15,8.7240324140398165e-16,0.0,0.15601516946205235
9,1.9806256005918527e-06,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07479995700032305,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-8.963866322378692e-16,2.0886408613893249e-16,0.0,0.15601516946205238
10,9.903128002959263e-07,0.0,0.00020281606150060572,9.468723032087e-09,110.23106483891931,PASS,no_biactive,none,Solve_Succeeded,0.07574377400032972,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.499408937434995e-16,9.827866558332609e-17,0.0,0.15601516946205238
