iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0021705075655117003,0.0,1.2562232610596533e-06,7.762679388179095e-13,0.016984305946832107,PASS,no_biactive,none,Solve_Succeeded,0.6384591989999535,0,initial,39,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012229257887,9.094574770889448,7.949461022285312e-14,1.0905727390535394e-10
2,0.0010852537827558502,0.0,1.2562293991483665e-06,2.90878432451791e-14,0.016984305827692916,PASS,no_biactive,none,Solve_Succeeded,0.3040050899999187,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012206100935,9.0945743611107,7.949442831474304e-14,1.0905701592487606e-10
3,0.0005426268913779251,0.0,1.2562290379633966e-06,2.808864252301646e-14,0.016984305837855866,PASS,no_biactive,none,Solve_Succeeded,0.2963682039999185,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012296325988,9.094575557132282,7.969692109879413e-14,1.0933481222215982e-10
4,0.00027131344568896254,0.0,1.2562294130504686e-06,2.55351295663786e-14,0.016984305827691556,PASS,no_biactive,none,Solve_Succeeded,0.3004605590003848,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012459470655,9.094577747128353,7.949442830513917e-14,1.090570159091791e-10
5,0.00013565672284448127,0.0,1.2562292001215066e-06,2.667821519253266e-10,0.016984305831200072,PASS,no_biactive,none,Solve_Succeeded,0.3008288469995932,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339012799160168,9.094582248660831,7.949648619363686e-14,1.0906044304676441e-10
6,3.391418071112032e-05,0.0,1.2562292793373467e-06,2.035793755794657e-10,0.016984305829524454,PASS,no_biactive,none,Solve_Succeeded,0.3304081840001345,0,adaptive_jump,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833901482447219,9.09460827149996,7.94953138068721e-14,1.0905848796046805e-10
7,1.695709035556016e-05,0.0,1.2562293990939054e-06,3.397282455352979e-14,0.01698430582768199,PASS,no_biactive,none,Solve_Succeeded,0.32882357900007264,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339017523755455,9.094640917258848,7.949442830221903e-14,1.090570159034648e-10
8,8.47854517778008e-06,0.0,1.2562289810781696e-06,4.1744385725905886e-14,0.016984305839750025,PASS,no_biactive,none,Solve_Succeeded,0.3423218109996924,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833902295812871,9.094700410342789,7.973509157537422e-14,1.0938717762973265e-10
9,4.23927258889004e-06,0.0,1.2562293609979928e-06,1.5943513176353008e-10,0.016984305827995184,PASS,no_biactive,none,Solve_Succeeded,0.32348088200023994,0,post_stagnation_fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339033689410103,9.09479792248304,7.949449392890317e-14,1.0905713169997777e-10
10,1.05981814722251e-06,0.0,1.2562294269909053e-06,2.864375403532904e-14,0.016984305827587094,PASS,no_biactive,none,Solve_Succeeded,0.3541525140003614,0,adaptive_jump,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.1833909774152978,9.095108341362007,7.949442830241006e-14,1.0905701590099915e-10
11,5.29909073611255e-07,0.0,1.2562294409392018e-06,8.526512829121202e-14,0.016984305827536628,PASS,no_biactive,none,Solve_Succeeded,0.3899694530000488,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339181643583932,9.095268334865322,7.949442830251368e-14,1.0905701589764836e-10
12,2.649545368056275e-07,0.0,1.2562294130420321e-06,1.8767210008263646e-12,0.016984305827477838,PASS,no_biactive,none,Solve_Succeeded,0.3534842600001866,0,post_stagnation_fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.18339344476689437,9.095390510417667,7.94944283028264e-14,1.0905701589259471e-10
