iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.0009067742485258648,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.04302777100019739,0,initial,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.306405997780755e-14,0.0,0.1572241906390353
2,0.0004533871242629324,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.0418937909998931,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,9.497050857496927e-18,0.0,0.15722419063903625
3,0.0002266935621314662,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.042645273000744055,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,4.7035876925380724e-18,0.0,0.1572241906390367
4,0.0001133467810657331,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.041637040998466546,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.3068776184963764e-18,0.0,0.15722419063903698
5,2.8336695266433274e-05,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.040348909999011084,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,5.0934030985174745e-19,0.0,0.15722419063903717
6,1.4168347633216637e-05,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.040360857999985456,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,2.0973808645626137e-19,0.0,0.15722419063903714
7,7.0841738166083185e-06,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.03988241900151479,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,5.995930487100746e-20,0.0,0.15722419063903714
8,3.5420869083041592e-06,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.03965974599850597,0,post_stagnation_fast,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.4962795460523625e-20,0.0,0.0,0.15722419063903717
9,8.855217270760398e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.03912915599903499,0,adaptive_jump,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.906962918845191e-20,0.0,0.0,0.1572241906390372
10,4.427608635380199e-07,0.0,9.067742485258647e-05,9.936802719255822e-09,114.72423775723131,PASS,no_biactive,none,Solve_Succeeded,0.039883457000541966,0,slow,1,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.448168322012476e-20,0.0,0.0,0.15722419063903717
