iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000098342017,9.999999991771265e-09,12.921429249085392,PASS,PASS,none,Solve_Succeeded,1.1936398450015986,4,initial,75,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.665679061886006e-13,1287046.3043622994,4.992412432648622e-12,0.0015770391386308203
2,0.5,0.0,0.500000009818535,9.99982303330313e-09,13.125128177629716,PASS,PASS,none,Solve_Succeeded,0.23263576899989857,4,slow,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.832396551347886e-13,1377.96834353042,5.078011072243078e-12,3.2505673329833205e-10
3,0.25,0.0,0.2500000098362458,9.999311485114037e-09,13.230177665832409,PASS,PASS,none,Solve_Succeeded,0.2231907549976313,4,slow,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.915675917318078e-13,739.124047064409,5.038961335131945e-12,6.450182262680792e-10
4,0.125,0.0,0.12500000984813683,9.999853800116545e-09,13.282421876904579,PASS,PASS,none,Solve_Succeeded,0.20831367400023737,4,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.957334434997213e-13,1454.1227278694446,5.0194312115007e-12,1.2849991661935926e-09
5,0.0625,0.0,0.06250000985337577,9.99839693831095e-09,13.308370465147666,PASS,PASS,none,Solve_Succeeded,0.20728142699954333,4,slow,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.978166802332328e-13,257.5402849977621,5.0096656252200695e-12,2.5649866963842025e-09
6,0.03125,0.0,0.03125000868951829,3.3411468036703695e-13,13.321289420327544,PASS,PASS,none,Solve_Succeeded,0.24870861399904243,4,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.080530194825953e-12,0.009087791096219502,4.549802536097944e-11,4.6590647893902927e-08
7,0.015625,0.0,0.015625009857022355,2.6667810514703158e-11,13.327733453828513,PASS,PASS,none,Solve_Succeeded,0.24786021999898367,4,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.993790015648447e-13,0.004701830559358217,5.002341373282864e-12,1.024492825373269e-08
8,0.0078125,0.0,0.007812509857641424,9.85878045867139e-14,13.330951394922819,PASS,PASS,none,Solve_Succeeded,0.24833662499804632,4,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.996395628793751e-13,0.004655845225212648,5.001120667608674e-12,2.0484756497514793e-08
9,0.00390625,0.0,0.003906258708506864,7.9420922691305e-11,13.332559323527184,PASS,PASS,none,Solve_Succeeded,0.2807086079992587,4,fast,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.088816101848089e-12,0.009079837618077973,4.545918468418555e-11,3.724007259107288e-07
10,0.001953125,0.0,0.0019531338374277527,8.908802862084286e-11,13.333363016627676,PASS,PASS,none,Solve_Succeeded,0.22391214899835177,4,fast,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.190291521250299e-12,0.004621114433660243,4.095990131787842e-11,6.710707551998612e-07
