iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000062141725,9.270362255620057e-14,8.920041467989462,PASS,PASS,none,Solve_Succeeded,55.2739280120004,204,initial,281,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.676237500086407e-11,0.030025923869067054,1.501266158447526e-10,0.03800279569408023
2,0.5,0.0,0.5000000099911881,2.8086860072384923e-05,12.249494410949367,PASS,PASS,none,Solve_Succeeded,65.5620130569987,138,slow,316,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.758726796536427e-12,0.1528190818013568,4.999899950320082e-12,0.07810031211088656
3,0.25,0.0,0.2500000099980533,7.066312812664677e-11,27.476349813449048,PASS,PASS,none,Solve_Succeeded,51.23205958499966,183,slow,252,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7254452829680648e-12,1.1229192086802826,4.9998999501447196e-12,0.17274733887173455
4,0.125,0.0,0.1250000099996442,7.448339529168846e-06,48.30588765052663,PASS,PASS,none,Solved_To_Acceptable_Level,83.33914368200021,184,slow,403,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.9503708301050574e-12,6.693933845002187,4.999899950089082e-12,0.28101934764097597
5,0.0625,0.0,0.06250000999967616,3.13247290953389e-10,63.580519218968234,PASS,PASS,none,Solve_Succeeded,76.01680805599972,180,slow,367,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6624116489549182e-12,4.70425103507075,4.999899950102773e-12,0.24325336557185392
6,0.03125,0.0,0.031250009998597526,4.6181836133030174e-11,44.59928520320231,PASS,PASS,none,Solve_Succeeded,117.23332397299964,91,slow,567,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7952782905718952e-12,4.753514140600715,4.999899950319039e-12,0.07836034847230301
7,0.015625,0.0,0.01562500999938282,1.9707568910121154e-12,45.9936978881334,PASS,PASS,none,Solve_Succeeded,25.39797912100039,107,slow,122,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7911382952045151e-12,5.842579541327833,4.99989995017526e-12,0.14264505278515516
8,0.0078125,0.0,0.007812509999888572,7.993605777301127e-14,48.15859844632618,PASS,PASS,none,Solve_Succeeded,60.78893363200041,90,slow,252,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7929498508353818e-12,11.170653784736132,4.999899950093486e-12,0.26741944076532215
9,0.00390625,0.0,0.003906259999876248,9.264833344957424e-11,49.883319523137516,PASS,PASS,none,Solve_Succeeded,64.02403006700115,116,slow,282,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7784735056837878e-12,12.294711311810829,4.999899950105907e-12,0.2360589779500203
10,0.001953125,0.0,0.001953134999925992,6.840153569422081e-10,51.10940967249687,PASS,PASS,none,Solve_Succeeded,58.98340778599959,123,slow,290,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7700435747382475e-12,20.06841374221029,4.9998999501597526e-12,0.15649251655745625
11,0.0009765625,0.0,0.0009765724999697685,6.2181394927291085e-09,51.92015255709435,PASS,PASS,none,Solve_Succeeded,36.27927631300008,82,slow,184,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7650116990219524e-12,50.44521142209181,4.999899950148614e-12,0.1682204803577741
12,0.00048828125,0.0,0.0004882912498896414,2.8860228399403467e-07,52.312491999418555,PASS,PASS,none,Solve_Succeeded,122.19006891699973,71,slow,596,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7632250355318161e-12,34.841513434898225,4.999899950526227e-12,0.04750816269031392
13,0.000244140625,0.0,0.00024415062489389943,3.907985046680551e-14,52.47563738468946,PASS,PASS,none,Solve_Succeeded,91.3023518709997,92,slow,462,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7625459870987153e-12,35.62049390057535,4.999899950526375e-12,0.0474947032199512
14,0.0001220703125,0.0,0.0001220803123964921,4.561503177323524e-09,52.561649925159806,PASS,PASS,none,Solve_Succeeded,67.24863317400013,117,slow,332,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7622884823853636e-12,35.9954358908015,4.9998999505259836e-12,0.04753094510037649
15,6.103515625e-05,0.0,6.104515610437463e-05,3.7173364386688945e-10,52.603868272719644,PASS,PASS,none,Solve_Succeeded,145.30520655600048,67,slow,709,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.5321514766040235e-12,36.30723180076415,7.184627503242186e-12,0.04732508342362342
16,3.0517578125e-05,0.0,3.052757802529873e-05,4.657837900508234e-11,52.6268418954205,PASS,PASS,none,Solve_Succeeded,45.921885665000445,137,slow,230,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7620995330858695e-12,31.18703161575405,4.999899950526557e-12,0.047478293387422474
17,1.52587890625e-05,0.0,1.526878896587499e-05,3.660045035355002e-12,52.63857557170506,PASS,PASS,none,Solve_Succeeded,69.07426255099926,139,slow,345,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7620655760099353e-12,36.184295255134096,4.9998999505264634e-12,0.047486768202079574
18,7.62939453125e-06,0.0,7.639394439537821e-06,6.141285396887852e-13,52.6390966251996,PASS,PASS,none,Solve_Succeeded,147.04996277099963,54,slow,631,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.762105717958949e-12,36.228514605468504,4.999899950531449e-12,0.047041180998083486
19,3.814697265625e-06,0.0,3.824697175213954e-06,6.199524432324182e-07,52.64171235612487,PASS,PASS,none,Solved_To_Acceptable_Level,98.29713489700043,38,slow,465,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.073819464966322e-12,36.23606653188788,-1.4315615164557902e-08,0.047034941534152934
20,1.9073486328125e-06,0.0,1.917348419374382e-06,1.3165551981941803e-10,52.64300849277711,PASS,PASS,none,Solve_Succeeded,98.6202462099991,38,slow,400,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.326257054798592e-12,34.88967169059621,1.227563921371268e-11,0.04658005379359725
21,9.5367431640625e-07,0.0,9.63674229483561e-07,6.542714468857726e-10,52.643654025414136,PASS,PASS,none,Solve_Succeeded,38.47966874099984,38,slow,180,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.762094164849543e-12,34.934225158954625,4.999899950531545e-12,0.047032722154408874
