iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.999999937123004,1.7017383284622875e-10,0.44546215672051503,PASS,PASS,none,Solve_Succeeded,114.32060724400071,885,initial,417,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.7703663729120253e-12,0.0035564978392524124,-4.2528240918291625e-10,0.0011648590602463154
2,0.5,0.0,0.5000000090167538,3.322310482278823e-08,0.44910772052086095,PASS,PASS,none,Solved_To_Acceptable_Level,56.6223665739999,648,slow,199,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3923303360888048e-12,0.0033901308520441023,-8.655704057842807e-10,0.00146161954664046
3,0.25,0.0,0.2500000099342782,1.1535163666268056e-11,0.6448237581973585,PASS,PASS,none,Solve_Succeeded,211.87081439400026,293,slow,758,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3617960694605e-12,0.06032610017773516,4.919298571019905e-12,0.003725319354098683
4,0.125,0.0,0.1250000099545274,1.0400839576532248e-09,1.1542915096009199,PASS,PASS,none,Solve_Succeeded,263.9041704379997,210,slow,905,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.196420031276779e-12,0.10466423234429083,8.98235885437968e-12,0.0035945889909977163
5,0.0625,0.0,0.06250000999798822,4.54548204631422e-12,1.9243106436054311,PASS,PASS,none,Solve_Succeeded,115.89687598900127,199,slow,421,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.1187971206634424e-12,1.4276154797660483,4.9998999503284845e-12,0.07610732217826897
6,0.03125,0.0,0.03125000999905808,2.6575269762574294e-11,3.3039724909917787,PASS,PASS,none,Solve_Succeeded,183.14353319899965,243,slow,637,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.230887902315986e-12,3.4149592558134034,4.999899950463738e-12,0.05390981514859936
7,0.015625,0.0,0.015625009999463983,1.6042722705833512e-13,5.951939455810623,PASS,PASS,none,Solve_Succeeded,118.24982771199939,386,slow,437,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9469628945521e-12,10.514857988021497,4.999899950695274e-12,0.03595706563743343
8,0.0078125,0.0,0.007812509999288076,3.708561365611061e-14,7.426122395693833,PASS,PASS,none,Solve_Succeeded,109.39041934499983,411,slow,386,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.6509084628302854e-12,12.877543560847998,4.999899950413829e-12,0.06041154001095604
9,0.00390625,0.0,0.003906259999385798,1.3541968486282148e-10,7.625997434515574,PASS,PASS,none,Solve_Succeeded,108.03936339400025,430,slow,389,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.4956857683231613e-12,6.7048339482216015,4.999899950194725e-12,0.12838556525295974
10,0.001953125,0.0,0.0019531349991751224,2.4718768698583915e-13,8.045764390165141,PASS,PASS,none,Solve_Succeeded,146.7964980479992,416,slow,526,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3172079779873147e-12,9.054512577368397,4.999899950310561e-12,0.08049944969003059
11,0.0009765625,0.0,0.0009765724996016363,1.654872941231057e-10,8.237156415938376,PASS,PASS,none,Solve_Succeeded,131.70178648,396,slow,477,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0356681645592222e-12,12.038262224542615,-4.265271101164582e-11,0.18431160964575485
12,0.00048828125,0.0,0.0004882912497843422,2.7846613903648176e-12,8.459857019710384,PASS,PASS,none,Solve_Succeeded,63.36387299600028,383,slow,234,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.943184824666477e-12,20.67222735909455,4.999899950108074e-12,0.23132356454422376
13,0.000244140625,0.0,0.00024415062434224083,1.0730550684679099e-11,8.225800490067295,PASS,PASS,none,Solve_Succeeded,307.8881761600005,172,slow,1078,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.602568945664447e-12,37.47650602405468,1.6207036845021186e-11,0.2585677630899874
14,0.0001220703125,0.0,0.00012208031240235377,1.0244700780849406e-12,8.242821594415007,PASS,PASS,none,Solve_Succeeded,181.83883086599963,120,slow,641,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7119214794549996e-12,52.204051240078236,4.999899950110535e-12,0.22617251386821693
15,6.103515625e-05,0.0,6.104515596419006e-05,3.695298022906451e-14,7.356542495337678,PASS,PASS,none,Solve_Succeeded,378.770816045002,132,slow,1276,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.7122336921818317e-12,21.706765470573952,4.9998999505106735e-12,0.04895491180406582
16,3.0517578125e-05,0.0,3.052757812402032e-05,4.797225117147974e-12,7.568848064535996,PASS,PASS,none,Solve_Succeeded,160.21554000200194,128,slow,540,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6913255399396112e-12,5990.248253377255,4.99989995114373e-12,0.021858302973931893
17,1.52587890625e-05,0.0,1.526878906174395e-05,2.0620692720526637e-12,8.116652992459715,PASS,PASS,none,Solve_Succeeded,397.4950605760023,120,slow,895,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.6841441555398686e-12,6220.819244382412,4.999899950631887e-12,0.03956411791109538
