iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.8943660818348824,0.0,0.894366091811652,9.999998912077037e-09,64.05846710718029,PASS,PASS,none,Solved_To_Acceptable_Level,3.724487561998103,188,initial,72,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.1025244834865467e-12,0.4118964046236434,2.5930973534907436e-11,1.1608180262396903
2,0.4471830409174412,0.0,0.4471830509141092,2.2273832048850863e-13,97.0393021836048,PASS,PASS,none,Solve_Succeeded,2.5743873569990683,188,slow,53,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.233359893947764e-13,1.1245020177630864,1.043063145193476e-11,1.892877779876071
3,0.2235915204587206,0.0,0.22359153045638655,1.0113350480365551e-13,122.71266776804579,PASS,PASS,none,Solve_Succeeded,3.410001550000743,120,slow,67,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.893682344546023e-13,1.1862412512045564,9.999899605608467e-12,2.6627192769144212
4,0.1117957602293603,0.0,0.11179577022746268,4.3183533236947914e-10,139.24208618941344,PASS,PASS,none,Solve_Succeeded,2.1451997629992547,93,slow,44,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.159904024156394e-13,0.8418174819987142,9.999899604503866e-12,3.1931457726293426
5,0.05589788011468015,0.0,0.055897890113272015,5.60574246227551e-10,148.44611991211877,PASS,PASS,none,Solve_Succeeded,1.6551931989997684,78,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.338160696974776e-13,0.8605422540369957,9.999899606953718e-12,3.5082473301398767
6,0.027948940057340076,0.0,0.02794895005620365,3.480915640408105e-12,153.51856381640673,PASS,PASS,none,Solve_Succeeded,1.5616113849973772,69,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.469000880450848e-13,0.8404351424319035,1.1631262620511318e-11,3.6112649776862478
7,0.013974470028670038,0.0,0.013974480027693253,7.878465484974147e-12,156.16193493857241,PASS,PASS,none,Solve_Succeeded,1.2821731050025846,60,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.506377139145298e-13,0.8555920318337614,1.435552699893418e-11,3.69621226282319
8,0.006987235014335019,0.0,0.006987245013447097,8.780375445371909e-11,157.50517011010257,PASS,PASS,none,Solve_Succeeded,1.5193277219987067,60,slow,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.524042960162657e-13,0.872393849357252,1.6550518800570318e-11,3.76961083957072
9,0.0034936175071675095,0.0,0.0034936275166428167,5.753383539626374e-10,158.1823883548425,PASS,PASS,none,Solve_Succeeded,1.58066608900117,60,slow,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.531929441354796e-13,1.0514934523962993,1.8051173227566502e-11,3.8155005831361666
10,0.0017468087535837547,0.0,0.0017468187528992796,1.2400747095853148e-11,158.52271620644856,PASS,PASS,none,Solve_Succeeded,1.286482931998762,60,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.529635614974343e-13,1.0797515505741762,1.9306804362516976e-11,3.8583874845473605
