iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000084909135,9.880074702817154e-09,0.23183379036194401,PASS,PASS,none,Solve_Succeeded,11.259066578000784,1227,initial,60,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.5789408049675122e-12,0.0011716686915005387,1.5123535156254806e-11,5.460838911355192e-05
2,0.5,0.0,0.5000000096056453,1.870427281634935e-08,1.2495154107584387,PASS,PASS,none,Solve_Succeeded,13.448697857000298,627,slow,73,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0736788713719633e-12,0.0049897411584497705,9.999352713924512e-12,2.839237184987747e-05
3,0.25,0.0,0.25000000980651005,9.477040894666916e-10,2.486863114981522,PASS,PASS,none,Solve_Succeeded,15.67608386199936,351,slow,83,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0929707605750897e-12,0.010166879000398825,1.0000206484753656e-11,3.260777121313579e-07
4,0.125,0.0,0.12500000976029157,8.20960220637712e-09,3.462586360391348,PASS,PASS,none,Solve_Succeeded,13.19350720500006,46,slow,72,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8336030660947065e-12,0.021526222534365893,2.593048895286153e-11,2.8740744358505755e-09
5,0.0625,0.0,0.06250000919796983,1.3489670914467529e-05,4.128415620053559,PASS,PASS,none,Solve_Succeeded,17.32207639599983,26,slow,80,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.165431943460802e-11,0.05161274413197429,1.954864409185272e-10,0.0009659174007054568
6,0.03125,0.0,0.031250009901328174,2.0857396503780323e-06,4.540860015649934,PASS,PASS,none,Solve_Succeeded,15.542751189999763,17,slow,66,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6334780345707356e-12,0.07699526280543076,4.1750815953939466e-11,9.940543395039171e-08
7,0.015625,0.0,0.015625009716177394,1.9456020875450834e-05,4.797971136923733,PASS,PASS,none,Solve_Succeeded,12.375291919001029,3,slow,58,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.2716431077940474e-11,0.09161992388666881,2.0460737982301927e-10,1.7650962117712397e-07
8,0.0078125,0.0,0.007812509984429518,7.012994424089765e-06,4.958758947366241,PASS,PASS,none,Solve_Succeeded,15.1403117509999,4,slow,59,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.0070387707542406e-12,0.11108925101490615,-1.718883772145931e-10,3.1150524294058346e-08
9,0.00390625,0.0,0.003906259994469401,8.067517802178904e-07,5.058095508938132,PASS,no_biactive,none,Solve_Succeeded,10.990927246000865,0,slow,46,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.112475156514614e-12,0.12198452479192418,1.0002791879697201e-11,3.458719225618616e-08
10,0.001953125,0.0,0.0019531349962995524,2.3841365503788833e-05,5.12075482744719,PASS,no_biactive,none,Solve_Succeeded,5.571204203000889,0,slow,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.112634454023333e-12,0.12461590463596324,9.99990456700758e-12,2.056148773226484e-05
11,0.0009765625,0.0,0.0009765724968866273,9.689357271462206e-08,5.159831262730706,PASS,no_biactive,none,Solve_Succeeded,6.113560005000181,0,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3772674370898016e-12,0.12825244513058276,1.2377361673550508e-11,4.121807840009333e-05
12,0.00048828125,0.0,0.0004882912413529325,1.5040047747183823e-09,5.184374346958979,PASS,no_biactive,none,Solve_Succeeded,7.546139513000526,0,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.1822704830739595e-12,0.10939185037320136,4.6569224469147315e-11,3.848427323849412e-05
13,0.000244140625,0.0,0.00024415062224962124,5.144060160472419e-10,5.200207542244339,PASS,no_biactive,none,Solve_Succeeded,5.4329401119994145,0,fast,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.813500306479686e-12,0.06932820767863772,3.426882262661394e-11,2.969404459736409e-05
14,0.0001220703125,0.0,0.00012208031058016843,2.3387962272696135e-10,5.210109854252412,PASS,no_biactive,none,Solve_Succeeded,7.158760197000447,0,fast,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.042331688488748e-12,0.07097663354134137,3.632553995774816e-11,2.595779637455268e-05
15,6.103515625e-05,0.0,6.104515367808693e-05,2.3267118147897667e-10,5.218192803754776,PASS,no_biactive,none,Solve_Succeeded,5.126618588999918,0,fast,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.905902720037805e-12,0.09323276645382181,4.408591527640486e-11,2.3690565202738055e-05
16,3.0517578125e-05,0.0,3.0527576338331024e-05,2.6620159805642527e-10,5.221646903962064,PASS,no_biactive,none,Solve_Succeeded,4.351625409999542,0,fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.902703711807783e-12,0.048143693385456376,3.5071018682350704e-11,2.5751260614469503e-05
17,1.52587890625e-05,0.0,1.526878859769082e-05,4.507176920302467e-11,5.223482343391216,PASS,no_biactive,none,Solve_Succeeded,4.661048637000931,0,fast,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1127893347437407e-12,0.02505601049431006,9.999880061211384e-12,2.227272219589079e-05
18,7.62939453125e-06,0.0,7.63939361292401e-06,5.191874046738779e-10,5.224430664769503,PASS,no_biactive,none,Solve_Succeeded,4.285146723999787,0,fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.300488929122003e-12,0.012193515711734427,2.0672966716536117e-11,4.399875918396437e-05
19,3.814697265625e-06,0.0,3.824696831338531e-06,1.3848610606489694e-10,5.224912928317331,PASS,no_biactive,none,Solve_Succeeded,4.467915354998695,0,fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1127902365809574e-12,0.006319281246919155,9.999902063713076e-12,4.28314056044396e-05
20,1.9073486328125e-06,0.0,1.9173482033992273e-06,5.149377003629569e-11,5.225156153498939,PASS,no_biactive,none,Solve_Succeeded,4.464808640999763,0,fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.112790387776319e-12,0.0030468260300402653,9.999901126446147e-12,7.501424387359391e-05
21,9.5367431640625e-07,0.0,9.636738893979566e-07,7.125610960857071e-10,5.225278296833365,PASS,no_biactive,none,Solve_Succeeded,4.5720157790001394,0,fast,22,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1127904634258538e-12,0.0012250209189914108,9.999900538682412e-12,0.0001351345279151483
