iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.000000009567882,0.0008899353799434462,8.266820158182282,PASS,PASS,none,Solve_Succeeded,267.46948201500004,29,initial,2019,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.105275038857482e-13,0.024736979023946608,2.451856920576068e-12,0.08882886328943085
2,0.5,0.0,0.5000000096747883,1.17027436352668e-10,8.73240147478945,PASS,PASS,none,Solve_Succeeded,10.857404430000088,28,slow,87,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.052469128747154e-13,0.03830956350244669,2.499899987568212e-12,0.09162566589656078
3,0.25,0.0,0.2500000097471086,4.413144655268653e-09,9.017044005202164,PASS,PASS,none,Solve_Succeeded,21.45972331600001,30,slow,168,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.030167536066823e-13,0.046413534551625134,2.4998999875675145e-12,0.09257333702034555
4,0.125,0.0,0.12500000983039528,6.208975966703889e-08,9.19083856652305,PASS,PASS,none,Solve_Succeeded,35.952444198999956,29,slow,272,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.35791783803874e-13,0.04740581156958677,2.6439690915276357e-12,0.09459402261633955
5,0.0625,0.0,0.06250000981292046,2.5265058890799678e-11,9.295696445196993,PASS,PASS,none,Solve_Succeeded,22.507947823000222,19,slow,178,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.999397314886606e-13,0.048075569178942984,2.4998999875649933e-12,0.09616363419053099
6,0.03125,0.0,0.03125000350853333,3.698339577033055e-08,9.363803047470704,PASS,PASS,none,Solve_Succeeded,4.50678498100001,19,slow,39,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.1122767332811698e-11,0.019512018939697878,8.810076597224746e-11,0.08576491317815674
7,0.015625,0.0,0.015625009855685358,3.0100921755149557e-14,9.401291383657316,PASS,PASS,none,Solve_Succeeded,5.680760018000001,18,slow,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.989341134228914e-13,0.04912893771662086,2.499899987564504e-12,0.09689378972341284
8,0.0078125,0.0,0.007812509872723965,1.9184009510756847e-12,9.419964883115323,PASS,PASS,none,Solve_Succeeded,4.096836272000019,18,slow,36,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.986681896526594e-13,0.017036309437944205,2.4998999875646843e-12,0.09662316170707272
9,0.00390625,0.0,0.003906259880987558,2.4313884239290928e-14,9.42922842699193,PASS,PASS,none,Solve_Succeeded,5.667997740999908,12,slow,49,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.986310913113862e-13,0.00847987400166603,2.499899987564423e-12,0.09701493326260471
10,0.001953125,0.0,0.00195313490161889,1.496957690827452e-12,9.431928505265848,PASS,PASS,none,Solve_Succeeded,9.2461880259998,11,slow,76,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.98579595377971e-13,0.007335476140368587,2.4998999875649667e-12,0.09620295165006831
