iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000075958964,1.1601511973324818e-09,3.713127418550219,PASS,PASS,none,Solve_Succeeded,158.51265024700115,44,initial,967,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-1.0444052291115206e-11,0.0030795432963110214,-1.8983644790751493e-11,0.0023074124855599217
2,0.5,0.0,0.5000000057264946,4.2788700266305213e-07,3.733890008266254,PASS,PASS,none,Solve_Succeeded,8.364876417999767,40,slow,54,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.109125946761127e-13,0.0012733956422581417,4.1827191362179275e-12,0.0015217510398972689
3,0.25,0.0,0.25000000624118196,4.724183916282598e-08,3.7392838797100563,PASS,PASS,none,Solve_Succeeded,9.64571725100177,25,slow,64,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.3552231098413586e-13,0.0011644514850168168,3.8092980660496065e-12,0.0018486582366457368
4,0.125,0.0,0.12500000742132658,4.839408671852841e-07,3.745772809601553,PASS,PASS,none,Solve_Succeeded,5.536891597999784,25,slow,41,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.0685642803647827e-13,0.0009472925957401925,2.673413137332891e-12,0.0021158748961959866
5,0.0625,0.0,0.06250000757580713,1.6813433140620877e-10,3.750102467470318,PASS,PASS,none,Solve_Succeeded,4.517340079997666,25,slow,32,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.879098017099423e-13,0.0010992619846935112,2.4998999903275617e-12,0.0022215073780745133
6,0.03125,0.0,0.03125000810156477,1.6170229261289136e-10,3.7530538685419916,PASS,PASS,none,Solve_Succeeded,5.669918011000846,24,slow,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.896103797211702e-13,0.0006784590420226708,2.499899751987795e-12,0.0022743274770076773
7,0.015625,0.0,0.015625008156786694,1.6994753630148486e-10,3.7547377831299134,PASS,PASS,none,Solve_Succeeded,6.037802080001711,24,slow,42,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.7984895533112345e-13,0.0006777008845031318,3.272889425605055e-12,0.0024742900950322447
8,0.0078125,0.0,0.007812508941394037,2.715684003035476e-12,3.755604215222814,PASS,PASS,none,Solve_Succeeded,7.750732093001716,24,slow,53,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9170460389565666e-13,0.0006196260398660682,2.5054030781980224e-12,0.002207305561355218
9,0.00390625,0.0,0.00390625789000312,5.274457095041929e-10,3.756018664279451,PASS,PASS,none,Solve_Succeeded,7.917111843002203,24,fast,53,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.565328745429224e-13,0.0002946079749829697,4.7766839802197186e-12,0.001615325307191733
10,0.001953125,0.0,0.0019531341362369363,6.371220093389277e-10,3.756215806456405,PASS,PASS,none,Solve_Succeeded,4.672585239997716,24,fast,34,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9130692768129095e-13,0.0003263593662815576,2.4998999842162193e-12,0.00221751715728234
11,0.0009765625,0.0,0.000976568143992531,8.630758423049112e-09,3.756311118027885,PASS,PASS,none,Solve_Succeeded,11.022107912001957,23,fast,71,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0939654836571352e-12,0.00024194678790042084,9.38725725155672e-12,0.001174895748273474
12,0.00048828125,0.0,0.0004882899683358814,2.263233844971037e-10,3.7563569160749175,PASS,PASS,none,Solve_Succeeded,7.524725056999159,23,slow,51,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.91339370556689e-13,0.0002986447168107098,2.4998999916070562e-12,0.0022915077936516088
13,0.000244140625,0.0,0.00024412904214197586,3.2392273220270204e-09,3.7563796332732617,PASS,PASS,none,Solve_Succeeded,6.196049905000109,22,slow,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.699239477485094e-12,0.00020219314902194271,4.0321948603716926e-11,0.0011149871351160891
14,0.0001220703125,0.0,0.00012207847458848246,4.4658250769753236e-10,3.7563906793167234,PASS,PASS,none,Solve_Succeeded,6.107338650999736,22,slow,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.920445097143277e-13,0.00021490274119558982,3.3639153054737613e-12,0.001640395580202353
15,6.103515625e-05,0.0,6.104377714919641e-05,5.327050751750341e-10,3.7563962595770475,PASS,PASS,none,Solve_Succeeded,7.126937094002642,22,slow,48,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9134984041639895e-13,0.00024093773234820287,2.4998999700106488e-12,0.002089457082001025
16,3.0517578125e-05,0.0,3.0526192132152445e-05,4.3795247853255834e-10,3.756399058925247,PASS,PASS,none,Solve_Succeeded,7.36730568600251,22,fast,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.913505430127573e-13,0.00022854361760275886,2.4998980355852396e-12,0.00203561612545315
17,1.52587890625e-05,0.0,1.5266542957082424e-05,5.395459929530277e-10,3.756400464624113,PASS,PASS,none,Solve_Succeeded,7.865111658000387,17,fast,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.706934538651962e-13,0.00021704509464752635,4.038724753370346e-12,0.001683185980888207
18,7.62939453125e-06,0.0,7.636693385658038e-06,3.3052154784808663e-10,3.756401166831415,PASS,PASS,none,Solve_Succeeded,11.567745102001936,5,slow,70,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.659717754347759e-13,0.00022450517775288918,4.856245142905714e-12,0.0018053141583441324
19,3.814697265625e-06,0.0,3.821724317584285e-06,8.397920702211351e-10,3.7564015175285,PASS,PASS,none,Solve_Succeeded,9.125488904999656,1,slow,57,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.227904412392847e-13,0.00023266429353617762,5.34376812883546e-12,0.0017812849867451202
20,1.9073486328125e-06,0.0,1.915718432841862e-06,5.530134371064415e-10,3.7564016827103726,PASS,PASS,none,Solve_Succeeded,13.51844887200059,1,slow,82,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.414049324167914e-13,0.0002569599209377787,2.9293779468874056e-12,0.002092430896812026
21,9.5367431640625e-07,0.0,9.622863383464876e-07,9.92682970329603e-12,3.756401768048309,PASS,no_biactive,none,Solve_Succeeded,11.128734656998859,0,slow,67,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.9135138178619454e-13,0.0003032601284847091,2.499899990243198e-12,0.002257920988712067
