iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000069143555,5.062032677471962e-07,0.05307392037112991,PASS,PASS,none,Solve_Succeeded,64.66306638700007,161,initial,243,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.368848571783875e-11,0.00015843421006120383,-3.0498512280340652e-12,0.009512647371697573
2,0.5,0.0,0.5000000096035082,8.634458804668288e-06,0.35817058252726525,PASS,PASS,none,Solve_Succeeded,35.6835157409987,26,slow,147,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.1998865109739926e-13,0.006223035931444259,5.499060858906852e-12,0.024711349343405627
3,0.25,0.0,0.2500000099288985,5.4255848895873315e-05,2.039979902902671,PASS,PASS,none,Solve_Succeeded,198.49336316399967,22,slow,758,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.193308632560286e-13,0.028632899512317542,5.2129479791887024e-12,0.15228849918602352
4,0.125,0.0,0.12500000999704858,8.273060231323015e-08,7.983384116086315,PASS,PASS,none,Solve_Succeeded,172.9481781480008,11,slow,655,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.1323903510057943e-13,0.15345475712452475,5.000838667398007e-12,0.11827883265254849
5,0.0625,0.0,0.06250000999911447,7.880394226354726e-06,15.830991301971109,PASS,PASS,none,Solve_Succeeded,58.51220534899949,3,slow,215,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.940228726146487e-13,0.8448186027019894,5.0023108086899936e-12,2.501578033397285
6,0.03125,0.0,0.031250009998976126,4.652169220697305e-06,22.984545346556157,PASS,no_biactive,none,Solve_Succeeded,30.13642784199874,0,slow,126,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.623174784232585e-13,1.228982923350013,7.440845406547492e-12,3.673253870402457
7,0.015625,0.0,0.01562500999831077,5.774518394008332e-07,27.437962961216474,PASS,no_biactive,none,Solve_Succeeded,24.484228258999792,0,slow,103,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.625952718154907e-13,1.385642926000908,1.1644129842302718e-11,3.662045904312626
8,0.0078125,0.0,0.007812509998277258,5.315140740296681e-09,29.84713191853994,PASS,PASS,none,Solve_Succeeded,20.57481912000003,1,slow,87,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.699128681229423e-13,1.4008060841678174,1.3214563764185711e-11,3.547307661358643
9,0.00390625,0.0,0.003906259998252738,6.362618285611193e-10,31.103442159604125,PASS,no_biactive,none,Solve_Succeeded,12.495619006000197,0,slow,56,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.027564120549622e-12,1.32722987443674,1.4079634411770916e-11,3.5054700485470995
10,0.001953125,0.0,0.0019531349982471195,6.714510270537175e-12,31.74891357138662,PASS,no_biactive,none,Solve_Succeeded,10.064104791999853,0,slow,46,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0531521937226845e-12,1.200168746702054,1.4467066502904448e-11,3.4868690057411706
11,0.0009765625,0.0,0.0009765724982437178,9.240431828738752e-10,32.07752982813753,PASS,no_biactive,none,Solve_Succeeded,10.71170663599878,0,slow,47,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0663063229460867e-12,1.0479081921878644,1.4666548674201914e-11,3.478158449046332
12,0.00048828125,0.0,0.0004882912482414826,4.860881905836346e-12,32.243587176494586,PASS,no_biactive,none,Solve_Succeeded,13.501618409000002,0,slow,65,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.073121621210934e-12,0.8885075630865182,1.4769969000334613e-11,3.474023743878938
13,0.000244140625,0.0,0.0002441506169631107,2.528243751262258e-10,32.32731969057814,PASS,no_biactive,none,Solve_Succeeded,11.443453785999736,0,fast,52,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.916897319304036e-12,0.7245558911306168,6.769597765682916e-11,3.461494051841093
14,0.0001220703125,0.0,0.00012208030869101413,7.390082989999769e-11,32.369302667663774,PASS,no_biactive,none,Solve_Succeeded,9.093964134000998,0,fast,41,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.333242590329095e-12,0.5727659685314944,3.2129464282909926e-11,3.467683872042125
15,6.103515625e-05,0.0,6.104515244410614e-05,2.3272195281975883e-10,32.390271890319866,PASS,no_biactive,none,Solve_Succeeded,9.536186570001519,0,fast,43,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.3328224850598224e-12,0.40525004874889214,3.212637892341998e-11,3.467241485204235
16,3.0517578125e-05,0.0,3.05275763639761e-05,3.421651850743501e-12,32.400716566220005,PASS,no_biactive,none,Solve_Succeeded,6.430599773000722,0,fast,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.079752719679426e-12,0.16524414972009432,1.4870430543802547e-11,3.4704944715835038
17,1.52587890625e-05,0.0,1.5268787301358784e-05,2.188107076712588e-12,32.40589290874834,PASS,no_biactive,none,Solve_Succeeded,9.290381785000136,0,fast,41,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.07999151185906e-12,0.05645054985481489,1.4874039093149266e-11,3.470403538460392
18,7.62939453125e-06,0.0,7.639384393928906e-06,7.295262265376995e-10,32.40844005723847,PASS,no_biactive,none,Solve_Succeeded,7.603593526000623,0,fast,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.216966554882212e-12,0.00021808378931495348,8.562324597662608e-11,3.4565032799297026
19,3.814697265625e-06,0.0,3.824693870755019e-06,1.5363834301464728e-10,32.409701264937546,PASS,no_biactive,none,Solve_Succeeded,5.601521583001158,0,fast,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.082077736806275e-12,9.697585117847698e-05,2.8675584976368557e-11,3.4677620039387014
20,1.9073486328125e-06,0.0,1.9173468715828846e-06,3.294045591850647e-11,32.41033107854956,PASS,no_biactive,none,Solve_Succeeded,5.486262826001621,0,fast,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0801938694749144e-12,6.982483467122557e-05,1.487709482931434e-11,3.470507511787458
21,9.5367431640625e-07,0.0,9.636697645605086e-07,4.813579534967971e-10,32.410645961136765,PASS,no_biactive,none,Solve_Succeeded,5.736258376999103,0,fast,27,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.7917011310661942e-12,0.00023060553728746177,3.844906507720044e-11,3.4666768422412813
