iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.046577852369663546,0.0,0.046577862363818015,1.1457135746408035e-10,399.9788306714144,PASS,PASS,none,Solve_Succeeded,22.30018108799959,41,initial,365,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8739230182317703e-11,24.871579498356716,-7.806404729587502e-09,20.965379058020016
2,0.023288926184831773,0.0,0.023288936184509557,1.510272371804434e-10,357.6773565744026,PASS,PASS,none,Solve_Succeeded,26.976437296999393,35,slow,430,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.293454904929248e-13,11.99544231305478,-2.970451023639009e-10,9.333571218971334
3,0.011644463092415886,0.0,0.011644473092106037,1.3358915482066663e-12,360.41230716100176,PASS,PASS,none,Solve_Succeeded,6.037758491000204,39,slow,102,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.257296194009057e-13,12.869440063585428,2.109507125419772e-11,16.572072548784945
4,0.005822231546207943,0.0,0.0058222415458729524,8.028889622139244e-14,361.8749812907082,PASS,PASS,none,Solve_Succeeded,13.756477267999799,39,slow,233,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.254529976277763e-13,21.005329317274327,2.110956113873663e-11,16.33018857677811
5,0.0029111157731039716,0.0,0.002911125772895441,3.235698133356225e-11,362.66440995152874,PASS,PASS,none,Solve_Succeeded,6.429261995000161,47,slow,101,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.258109479297522e-13,21.32413848115247,7.444439342256886e-12,40.3867548262884
6,0.0014555578865519858,0.0,0.0014555678862610492,3.94921241601752e-12,363.1297262237977,PASS,PASS,none,Solve_Succeeded,4.7244383950001065,41,slow,82,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.622206611121695e-13,42.197946486237065,3.8675760995563906e-11,18.952262382455974
7,0.0007277789432759929,0.0,0.0007277889429695494,1.8812418848515252e-13,363.8048963341123,PASS,PASS,none,Solve_Succeeded,6.338466495999455,39,slow,105,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.2881688193490743e-12,143.47482133198463,1.318994846403756e-10,36.17069770847298
8,0.00036388947163799645,0.0,0.0003638994715921851,8.45808645344448e-10,364.0091717448854,PASS,PASS,none,Solve_Succeeded,7.6758599380000305,39,slow,123,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.536380658659998e-13,115.79200915454925,3.0419248239334735e-11,34.41525651528112
9,0.00018194473581899823,0.0,0.00018195473580428435,1.4156146773265256e-13,364.4054658240692,PASS,PASS,none,Solve_Succeeded,3.9069917030001307,39,slow,70,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.22556074531505e-13,225.82827787066174,2.1093161064442482e-11,35.56183570671726
10,9.097236790949911e-05,0.0,9.098236790112896e-05,9.040331816478897e-10,364.7512337699089,PASS,PASS,none,Solve_Succeeded,5.270598147999408,37,slow,91,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.22144608512374e-13,381.8304106029598,2.1074866754779648e-11,36.45848976572142
11,4.5486183954749556e-05,0.0,4.5496183949555064e-05,2.9654052095570857e-13,365.02858655187765,PASS,PASS,none,Solve_Succeeded,4.611626560000332,37,slow,85,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.217832493195673e-13,603.3884836378531,2.106101125599918e-11,36.77154629393526
12,2.2743091977374778e-05,0.0,2.2753091974000123e-05,5.151434834260726e-13,365.24160782649045,PASS,PASS,none,Solve_Succeeded,4.110867239000072,37,slow,74,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.215910849589615e-13,918.9260251692375,2.105347382840938e-11,36.93004448672944
