iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9947620028737856,0.0001290000077979192,0.5373443267340763,PASS,PASS,none,Solve_Succeeded,12.718451445998653,450,initial,116,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1621149097715882e-11,0.0009999999999999,4.999899983572295e-12,0.0007446616525483327
2,0.5,0.0,0.5000000083805561,0.0002648649527409175,0.5627985897844754,PASS,PASS,none,Solve_Succeeded,20.159618575000422,342,slow,177,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.4983640905514805e-11,0.0038767130592488107,4.9998999824223055e-12,0.0007712216004510606
3,0.25,0.0,0.2500000095107755,0.0002152714881498638,0.6220903941309184,PASS,PASS,none,Solve_Succeeded,15.65787176699996,242,slow,139,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.71781464698823e-11,0.006530372464967912,4.999899980613053e-12,0.0008166767751763349
4,0.125,0.0,0.12500000980969542,1.7140698976732954e-05,0.6795306536285091,PASS,PASS,none,Solve_Succeeded,12.394273702999271,170,slow,116,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.8375440623496095e-11,0.016402702805021305,4.999899979503081e-12,0.0008473691157723906
5,0.0625,0.0,0.06250000979247462,5.122719489922267e-09,0.7199299936979104,PASS,PASS,none,Solve_Succeeded,17.137543667999125,130,slow,153,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.8878929656449276e-11,0.014223128867224218,4.999899978503502e-12,0.0008770852296607097
6,0.03125,0.0,0.03125000988262966,7.912630131026634e-05,0.7470359712688519,PASS,PASS,none,Solve_Succeeded,12.32030491200021,89,slow,114,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.9326553305931535e-11,0.02961989934445215,4.999899977282379e-12,0.000916941511441054
7,0.015625,0.0,0.015625009945005937,3.2352217654038704e-08,0.7659777995664512,PASS,PASS,none,Solve_Succeeded,16.990639548999752,66,slow,143,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.9216604384680338e-11,0.05600173997705639,4.9998999761485776e-12,0.0009560773636429986
8,0.0078125,0.0,0.007812509955121776,1.2695513932400176e-06,0.7782473378380839,PASS,PASS,none,Solve_Succeeded,12.688738486000148,47,slow,110,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.9105464939439434e-11,0.07427507586870279,4.9998999754976405e-12,0.000980631307445871
9,0.00390625,0.0,0.003906259971231381,2.2493449272457944e-08,0.7855987169934275,PASS,PASS,none,Solve_Succeeded,7.555149399999209,38,slow,67,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.903884414777536e-11,0.11586699292924707,4.999899975250238e-12,0.0009903635679551705
10,0.001953125,0.0,0.0019531349811197506,1.26302908962702e-09,0.7901003674452448,PASS,PASS,none,Solve_Succeeded,5.487062489999516,35,slow,51,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.8977941250970342e-11,0.17655133955835559,4.999899974956402e-12,0.0010017507564636314
