iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9996574287593514,8.222375025845885e-07,7.2796377368488985,PASS,PASS,none,Solve_Succeeded,6.365737754000293,1263,initial,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.5255785515353584e-12,0.0009999999999999,9.999899997349245e-12,0.0005067159036258557
2,0.5,0.0,0.5000000084692972,1.67692317254442e-08,7.29160955151983,PASS,PASS,none,Solve_Succeeded,5.257561741000245,109,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.982141809209926e-12,0.001420256723011995,9.999900036744978e-12,0.00042239544237805156
3,0.25,0.0,0.2500000096020786,3.2679969841353795e-12,7.334025845444331,PASS,no_biactive,none,Solve_Succeeded,4.290624762001244,0,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.951551317770569e-12,0.0033439114496070154,9.99990001174182e-12,0.00047227326003942976
4,0.125,0.0,0.1250000097418846,7.622386333228093e-10,7.373702787350904,PASS,no_biactive,none,Solve_Succeeded,4.377102325999658,0,slow,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.466154768280628e-12,0.0025954884322148537,9.99989997327237e-12,0.0005771260605267283
5,0.0625,0.0,0.06250000978557421,4.026455937330281e-11,7.399001496645411,PASS,no_biactive,none,Solve_Succeeded,3.588333302001047,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.72736296507075e-12,0.0015676703410791586,9.999899948674104e-12,0.0006726120937299226
6,0.03125,0.0,0.03125000980324055,1.863405073992963e-08,7.413114933358785,PASS,no_biactive,none,Solve_Succeeded,3.976121134001005,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.837397316439992e-12,0.0009999999999999,9.999899937289426e-12,0.0007283882233043804
7,0.015625,0.0,0.015625009811237767,1.2397865720159551e-11,7.42054712250534,PASS,no_biactive,none,Solve_Succeeded,4.143054705000395,0,fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.880494080338366e-12,0.0009999999999999,9.999899931855746e-12,0.0007584045708654322
8,0.0078125,0.0,0.007812509815048108,1.8116354629048716e-11,7.424357951767967,PASS,no_biactive,none,Solve_Succeeded,3.2719816270000592,0,fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.904704069222892e-12,0.0009999999999999,9.999899929206195e-12,0.0007739567103196057
9,0.00390625,0.0,0.003906259816908321,1.8193453258585565e-11,7.426287147075274,PASS,no_biactive,none,Solve_Succeeded,3.3125801559999672,0,fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.918429888012814e-12,0.0009999999999998998,9.999899927898385e-12,0.000781870711290247
10,0.001953125,0.0,0.0019531348178268904,1.341525424005275e-10,7.427257701284666,PASS,no_biactive,none,Solve_Succeeded,3.128626773999713,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.925584823608238e-12,0.0009999999999999,9.999899927248618e-12,0.0007858631501139741
11,0.0009765625,0.0,0.0009765723182821918,1.1917416519905766e-11,7.427744468834617,PASS,no_biactive,none,Solve_Succeeded,3.2418332710003597,0,fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.929201330881353e-12,0.0009999999999999,9.99989992692453e-12,0.0007878697773292411
12,0.00048828125,0.0,0.0004882910685065912,8.897212500472466e-11,7.4279882253107985,PASS,no_biactive,none,Solve_Succeeded,3.052597969999624,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.93101413242353e-12,0.0009999999999999,9.999899926762194e-12,0.0007888787500986926
13,0.000244140625,0.0,0.00024415044361346334,4.416876207228443e-13,7.428110196681111,PASS,no_biactive,none,Solve_Succeeded,3.1839914100000897,0,fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.931920797201045e-12,0.0009999999999999,9.999899926679969e-12,0.0007893907902398342
14,0.0001220703125,0.0,0.00012208013115656374,4.836086222711404e-11,7.4281712055747455,PASS,no_biactive,none,Solve_Succeeded,2.8277766020000854,0,fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.93237396496939e-12,0.0009999999999998998,9.999899926636594e-12,0.0007896611705679922
15,6.103515625e-05,0.0,6.104497490743148e-05,1.7932862081584792e-10,7.428201715723434,PASS,no_biactive,none,Solve_Succeeded,2.6605740950017207,0,fast,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.932600452593554e-12,0.0009999999999998998,9.999899926610323e-12,0.0007898250176464024
16,3.0517578125e-05,0.0,3.052739674793763e-05,9.88685292381379e-10,7.428216972073809,PASS,no_biactive,none,Solve_Succeeded,2.459027226001126,0,fast,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.932713668731219e-12,0.0009999999999998998,9.999899915666788e-12,0.0007899626575591387
17,1.52587890625e-05,0.0,1.5268607581564433e-05,5.013290750550481e-10,7.4282246005445,PASS,no_biactive,none,Solve_Succeeded,2.7180297409995546,0,fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.9327702713592e-12,0.0009999999999998998,9.999899926327999e-12,0.0007901419610058035
18,7.62939453125e-06,0.0,7.639212841931697e-06,1.2160978766963954e-11,7.428228414876437,PASS,no_biactive,none,Solve_Succeeded,2.5926194849998865,0,fast,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.932798570568606e-12,0.0009999999999998998,9.999899925799786e-12,0.0007904524087013326
19,3.814697265625e-06,0.0,3.824515267008662e-06,4.65811373607075e-10,7.428230322049011,PASS,no_biactive,none,Solve_Succeeded,2.340904489999957,0,fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.93281272074115e-12,0.0009999999999998998,9.999899908979633e-12,0.0007910482877969369
20,1.9073486328125e-06,0.0,1.9171656618318942e-06,8.820505041132874e-11,7.428231275596382,PASS,no_biactive,none,Solve_Succeeded,2.4011875329997565,0,fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.932819796756279e-12,0.0009999999999998998,9.999899926226856e-12,0.0007922244285987108
21,9.5367431640625e-07,0.0,9.634896387475407e-07,1.5660176922187312e-10,7.428231752351248,PASS,no_biactive,none,Solve_Succeeded,2.520166550000795,0,fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,7.932823335662231e-12,0.0009999999999998998,9.999899925856551e-12,0.0007945549908901882
