iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000094666073,4.839295992383661e-08,1.2503795767936068,PASS,PASS,none,Solve_Succeeded,10.28456980899864,693,initial,85,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.197976019894676e-13,0.0037200672839593275,1.1500129908820847e-11,5.5346889195991444e-05
2,0.5,0.0,0.5000000097729462,2.2070593525469126e-07,2.490285141056452,PASS,PASS,none,Solve_Succeeded,10.58042370200019,309,slow,88,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.485235912887049e-13,0.008548289201109725,1.000007675235863e-11,5.651338376176253e-07
3,0.25,0.0,0.2500000098896493,2.1302695718539155e-11,3.471769547166821,PASS,PASS,none,Solve_Succeeded,21.68025325600138,207,slow,174,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.533319504974158e-13,0.01790138934138759,1.0088124449285612e-11,1.1434699312451941e-09
4,0.125,0.0,0.1250000099044162,1.920712824898807e-07,4.143587653237579,PASS,PASS,none,Solve_Succeeded,13.580850084999838,27,slow,96,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.0528222946906432e-12,0.03864146756246358,1.8938031432560684e-11,0.0008396424813563696
5,0.0625,0.0,0.06250000996448667,7.159755865501771e-06,4.568712063096208,PASS,PASS,none,Solve_Succeeded,8.554607001000477,14,slow,67,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.740219397886653e-13,0.04012124155444461,9.899809219325717e-12,1.3681383041625364e-08
6,0.03125,0.0,0.03125000816639857,2.462541071357807e-06,4.8259779188724465,PASS,PASS,none,Solve_Succeeded,9.651598479998938,12,slow,73,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.669541396835644e-11,0.029178126399056085,8.370181126895671e-10,0.004714850745601923
7,0.015625,0.0,0.015625009549683343,5.25674754932922e-05,4.980294047369787,PASS,no_biactive,none,Solve_Succeeded,2.8428743179993035,0,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.8118346705339302e-11,0.029859995264759458,3.247723166646129e-10,5.581283441462858e-07
8,0.0078125,0.0,0.007812509990601301,9.065835036934505e-08,5.0724232985734465,PASS,no_biactive,none,Solve_Succeeded,9.242723097000635,0,slow,69,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2757277722247109e-12,0.028281421596283152,7.645124307713936e-12,2.292221941238702e-08
9,0.00390625,0.0,0.003906259993042369,1.8026848642169538e-06,5.1264338931829405,PASS,no_biactive,none,Solve_Succeeded,6.429919660000451,0,slow,50,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.584019362124513e-13,0.019244038038718995,1.0002081371934842e-11,4.584850489169626e-08
10,0.001953125,0.0,0.001953134850816691,2.902776817459339e-09,5.156910480111645,PASS,no_biactive,none,Solve_Succeeded,2.1093502909989184,0,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.4763822221930127e-11,0.006946183962896469,2.644180091782694e-10,2.399271059265723e-06
11,0.0009765625,0.0,0.0009765724950458563,2.1753733336025575e-10,5.173468339829481,PASS,no_biactive,none,Solve_Succeeded,3.4780993000003946,0,fast,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-2.1217829940846604e-10,0.0064518554584317165,-5.119354499195181e-11,1.8348469073238928e-07
12,0.00048828125,0.0,0.0004882912084425162,2.8085864211051984e-10,5.182178873251651,PASS,no_biactive,none,Solve_Succeeded,3.638098056000672,0,fast,29,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.042501013665585e-12,0.0020479772679221518,9.029946392282337e-11,3.265171966713377e-06
13,0.000244140625,0.0,0.0002441505823055665,2.2497439917526335e-10,5.186659863822316,PASS,no_biactive,none,Solve_Succeeded,3.1168769800005975,0,fast,26,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.388374878149524e-12,0.0010018110966432932,9.64913049290013e-11,6.871906190092285e-06
14,0.0001220703125,0.0,0.0001220802898343956,1.354685252863419e-10,5.188934460465963,PASS,no_biactive,none,Solve_Succeeded,3.0342850079996424,0,fast,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.919333263164116e-12,0.00050771768553868,5.2276866268497657e-11,7.421535533412194e-06
15,6.103515625e-05,0.0,6.104513193811202e-05,5.533047353623033e-10,5.190080678388991,PASS,no_biactive,none,Solve_Succeeded,3.835097086001042,0,fast,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,3.1623136601520003e-12,0.0002499192082136344,5.662766495662176e-11,1.550985362741052e-05
16,3.0517578125e-05,0.0,3.052757196387221e-05,2.801936460627985e-10,5.1906560393967585,PASS,no_biactive,none,Solve_Succeeded,5.626342083000054,0,fast,38,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,8.055365219255961e-13,0.00012846501092256304,1.4424730596314145e-11,8.135142460315477e-06
17,1.52587890625e-05,0.0,1.5268786160154066e-05,9.729770990069159e-12,5.19094431988388,PASS,no_biactive,none,Solve_Succeeded,8.406771930000104,0,fast,51,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.584369295014218e-13,6.628930886053761e-05,9.999908061687637e-12,1.2430866764824192e-05
18,7.62939453125e-06,0.0,7.639391631793868e-06,2.2741675209658752e-10,5.1910886097636455,PASS,no_biactive,none,Solve_Succeeded,8.468601085000046,0,fast,54,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.584370468229892e-13,3.276511773251643e-05,9.999903762577105e-12,2.526257784526991e-05
19,3.814697265625e-06,0.0,3.824694366980565e-06,6.988787326633883e-11,5.191160775799265,PASS,no_biactive,none,Solve_Succeeded,11.261729092000678,0,fast,63,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,5.584371054832651e-13,1.759446957922746e-05,9.999901706361537e-12,5.2457144767379924e-05
