iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.011002526569699411,0.0,0.011002521382314131,3.0578767296063347e-10,0.0004990241197210723,PASS,PASS,none,Solve_Succeeded,7.1974619120010175,28,initial,92,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.3379322845121054e-14,0.00012765166558858097,9.999899959534896e-12,0.0006268221128951126
2,0.005501263284849706,0.0,0.005501259506143968,2.842170943040401e-14,0.0005457632826406668,PASS,PASS,none,Solve_Succeeded,6.545238509001138,23,slow,85,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.315034771277266e-14,0.0001319292889880788,9.999899955920308e-12,0.0006413532785410957
3,0.002750631642424853,0.0,0.002750631597013352,1.7105917377024937e-12,0.0005709900650303459,PASS,PASS,none,Solve_Succeeded,7.463837863999288,16,slow,95,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.297076899336059e-14,0.00014305873330544997,9.999899947333273e-12,0.0006787333025982085
4,0.0013753158212124264,0.0,0.001375317921225472,2.842170943040401e-14,0.0005849268737233111,PASS,PASS,none,Solve_Succeeded,3.960788243000934,18,slow,58,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.285030602731574e-14,0.00015883158832747098,9.999899937382175e-12,0.0007278964699764088
5,0.0006876579106062132,0.0,0.0006876612623897633,2.4187074728456203e-10,0.0005925555761088213,PASS,PASS,none,Solve_Succeeded,4.116171353000027,27,slow,60,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.287175396368587e-14,0.0001735041372254797,9.999899929181731e-12,0.0007741032642187676
6,0.0003438289553031066,0.0,0.0003438332808303276,3.1140645617711016e-12,0.0005966461433082311,PASS,PASS,none,Solve_Succeeded,4.802354903000378,35,slow,66,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.288476928882701e-14,0.0001833795454648531,9.999899924152132e-12,0.0008054634160548787
7,0.0001719144776515533,0.0,0.0001719193478859781,2.0007989709469598e-10,0.0005987856187306155,PASS,PASS,none,Solve_Succeeded,5.79735674100084,30,slow,73,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2889999808270867e-14,0.0001880644996442441,9.999899921836594e-12,0.0008207714675299051
8,8.595723882577665e-05,0.0,8.596238319953273e-05,2.842170943040401e-14,0.0005998841911768837,PASS,PASS,none,Solve_Succeeded,5.243942819999575,21,slow,70,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.2893087801388017e-14,0.00018979827949561705,9.999899920901082e-12,0.000827122461611462
9,4.2978619412888325e-05,0.0,4.298383424124412e-05,4.14202325216273e-10,0.0006004419472091659,PASS,PASS,none,Solve_Succeeded,6.1036251459991036,15,slow,68,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289410443036559e-14,0.00019038838663462397,9.999899920419952e-12,0.0008304271639086534
10,2.1489309706444163e-05,0.0,2.1494275959003585e-05,1.3791329189771773e-11,0.0006007231672824347,PASS,PASS,none,Solve_Succeeded,4.364644199000395,15,slow,57,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289420101100727e-14,0.00019066711912674387,9.999899919907405e-12,0.0008339768453802348
11,1.0744654853222081e-05,0.0,1.0748550841542689e-05,2.7519793229141326e-10,0.0006008643403501185,PASS,PASS,none,Solve_Succeeded,9.250735693000024,14,slow,113,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289417853401559e-14,0.00019094137177660784,9.99989991902337e-12,0.0008401711297489671
12,5.372327426611041e-06,0.0,5.374512717639779e-06,2.050523082426192e-11,0.0006009349335167101,PASS,PASS,none,Solve_Succeeded,4.741030043998762,6,slow,51,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.219882196396511e-14,0.0001914049334866689,6.305547661139982e-12,0.0008523208295655239
13,2.6861637133055203e-06,0.0,2.6874757777969794e-06,8.420669512806568e-11,0.0006009701001333746,PASS,PASS,none,Solve_Succeeded,3.135834287000762,6,slow,40,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289409516380101e-14,0.00019230234072393292,9.999899914058259e-12,0.0008767449305405193
14,1.3430818566527602e-06,0.0,1.3441140932049303e-06,5.29926075243381e-10,0.0006009875950041821,PASS,PASS,none,Solve_Succeeded,5.33151905700106,8,slow,56,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289405929312067e-14,0.0001940581266614317,9.999899905449655e-12,0.0009483198525671433
15,6.715409283263801e-07,0.0,6.724478090520247e-07,5.632378708159277e-10,0.0006009962693626475,PASS,PASS,none,Solve_Succeeded,4.4769687930001965,6,slow,53,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.289403707788604e-14,0.00019743834782757163,9.999899886201466e-12,0.00116007310888083
