iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,0.9999997672044612,6.856645529129679e-08,0.07373540156454039,PASS,PASS,none,Solve_Succeeded,25.612236441998903,37,initial,274,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,9.622665228582094e-12,2.5986185136836266e-05,-6.531724633612486e-11,2.114441005754895e-05
2,0.5,0.0,0.4999991947881152,0.0004618802247835091,0.07425405421796047,PASS,PASS,none,Solve_Succeeded,6.6162497000004805,22,slow,89,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.819822829764057e-11,3.703949457075674e-05,7.772729371111513e-11,2.140826766849392e-05
3,0.25,0.0,0.2499999779082687,1.009985120953294e-06,0.07466184011013896,PASS,PASS,none,Solve_Succeeded,6.7480255989994475,20,slow,84,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-7.7429294070953e-11,6.014509546985069e-05,-8.560643060668336e-11,2.2185723919233148e-05
4,0.125,0.0,0.1249999945763153,4.5968348011328486e-05,0.07493509300753555,PASS,PASS,none,Solve_Succeeded,4.9433257349992346,14,slow,69,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.6087059331982066e-12,0.0001070398194291605,4.9999010580802814e-12,2.2561550896225803e-05
5,0.0625,0.0,0.062499992076114536,3.4304288791919824e-05,0.07511600641645165,PASS,PASS,none,Solve_Succeeded,2.3227538880000793,9,slow,33,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.616126898403028e-12,0.00040769834596305536,4.999901043096553e-12,2.2870811295946056e-05
6,0.03125,0.0,0.031250000510273004,2.0678777076094113e-09,0.0752427513475857,PASS,PASS,none,Solve_Succeeded,2.411584989000403,7,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.618000320463051e-12,0.0008830994474293373,4.999901034748019e-12,2.3046831624904604e-05
7,0.015625,0.0,0.015625004740888335,8.557720504454025e-13,0.07532601323297025,PASS,PASS,none,Solve_Succeeded,2.0434344069999497,5,slow,30,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.617240854388838e-12,0.0009006519218489436,4.999901029910778e-12,2.3150065199781257e-05
8,0.0078125,0.0,0.007812503676512575,4.674300190868036e-08,0.07537564526775781,PASS,PASS,none,Solve_Succeeded,1.9899130199992214,3,slow,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.7397300953884164e-12,0.0009602580385546805,7.294334522522535e-12,2.3003549396283702e-05
9,0.00390625,0.0,0.003906256917381168,5.459548858572499e-09,0.07540887926668151,PASS,PASS,none,Solve_Succeeded,5.101947595001548,1,slow,69,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,4.622040451370169e-12,0.0018785263309923474,4.99990068046968e-12,2.316681117688437e-05
10,0.001953125,0.0,0.0019531319899570416,7.650427425612569e-09,0.0754312199448321,PASS,no_biactive,none,Solve_Succeeded,1.6629951920003805,0,slow,24,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,6.518436964877806e-12,0.0023394924698273926,7.046714077133446e-12,2.2577506897900628e-05
