iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,0.014447216845618295,0.0,0.011992321217121005,9.913935778056021e-15,2.752715157515791e-19,PASS,no_biactive,none,Solve_Succeeded,0.0582263710002735,0,initial,28,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.2310970499561988e-11,8.718893641135647e-10,1.0234633140180531e-11,4.360152068845636e-10
2,0.007223608422809147,0.0,0.007222623794602409,7.276707885832793e-09,1.837223393675313e-17,PASS,no_biactive,none,Solve_Succeeded,0.05292467799881706,0,slow,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,0.0,0.0,0.0,0.0
3,0.0036118042114045737,0.0,0.003611814084039268,1.1102230246251565e-16,0.000656929099119973,PASS,PASS,none,Solve_Succeeded,0.07041535699863744,1,slow,35,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3498693438864044e-11,0.00028625144557216527,9.999899869999338e-12,0.001428565127339875
4,0.0018059021057022868,0.0,0.0018059120930550242,1.266209359584991e-13,0.0014901692436226253,PASS,no_biactive,none,Solve_Succeeded,0.0316750130004948,0,slow,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.7083201982564737e-11,0.000595538946611093,9.999899069978747e-12,0.004906713877704849
5,0.0009029510528511434,0.0,1.012712648865287,8.177955916621737e-10,7.048527591704068e-18,PASS,no_biactive,none,Solve_Succeeded,0.04454953300046327,0,slow,23,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.588928400120707e-11,1.0820267408278094e-11,-4.775399449429949e-11,2.6507399389940787e-10
6,0.0004514755264255717,0.0,79043.24912577178,1.1384393427960049e-10,2.011997054110633e-18,PASS,no_biactive,none,Solve_Succeeded,0.02778794400001061,0,slow,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-5.959398350167885e-16,-2.403810135023531e-16,1.6429363503974295e-10,2.035242993702561e-10
7,0.00022573776321278585,0.0,104100.04343709357,1.301042051871093e-10,1.2346968938572776e-16,PASS,no_biactive,none,Solve_Succeeded,0.02452403899951605,0,post_stagnation_fast,17,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-3.517325537250018e-15,-2.026585011661077e-15,1.356655160674597e-09,1.6753701177344769e-09
8,0.00011286888160639293,0.0,104098.55861030429,2.9103830456733704e-11,1.8162161446788298e-18,PASS,no_biactive,none,Solve_Succeeded,0.0269179080005415,0,post_stagnation_fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.2655030553283427e-16,-2.457664060439737e-16,1.6452517315150668e-10,2.0317115251909769e-10
9,2.8217220401598232e-05,0.0,104097.44348003205,2.9103830456733704e-11,1.8162603303694963e-18,PASS,no_biactive,none,Solve_Succeeded,0.02527182400081074,0,adaptive_jump,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.265503055632622e-16,-2.457664061232195e-16,1.64526935681147e-10,2.0316846479618096e-10
10,1.4108610200799116e-05,0.0,104097.25759507071,2.9103830456733704e-11,1.816267683905374e-18,PASS,no_biactive,none,Solve_Succeeded,0.026052790999528952,0,slow,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,-4.2655030556783445e-16,-2.4576640613614262e-16,1.645272294894504e-10,2.0316801677350478e-10
