iteration,t_k,delta_k,comp_res,kkt_res,objective,sign_test,sign_test_reason,restoration_used,solver_status,cpu_time,n_biactive,t_update_regime,nlp_iter_count,solver_type,warmstart_type,sta_tol,improvement_ratio,restoration_trigger_reason,restoration_success,biactive_indices_str,stagnation_count,tracking_count,is_in_tracking_regime,solver_fallback_occurred,consecutive_solver_failures,best_comp_res_so_far,best_iter_achieved,ipopt_tol_used,lambda_G_min,lambda_G_max,lambda_H_min,lambda_H_max
1,1.0,0.0,1.0000000082491312,1.249716188866934e-08,7.358211032808482,PASS,PASS,none,Solve_Succeeded,3.2947844770000074,399,initial,31,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.1963591415016503e-12,0.0008497584700428871,9.999899895425725e-12,0.001047935457845618
2,0.5,0.0,0.500000008653549,1.8172794556247512e-07,7.389690745750373,PASS,no_biactive,none,Solve_Succeeded,2.92624710299998,0,slow,25,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.264162473648176e-12,0.0005047000717547596,9.999899878377216e-12,0.001275881015563506
3,0.25,0.0,0.25000000880297346,1.0765741947547057e-08,7.408052256567476,PASS,no_biactive,none,Solve_Succeeded,2.052544314000045,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.2985976595361582e-12,0.00026015683962244757,9.99989987055267e-12,0.0014173808251581636
4,0.125,0.0,0.12500000886816118,8.144046003983468e-10,7.417912347858159,PASS,no_biactive,none,Solve_Succeeded,2.3740036180000175,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3129460202307663e-12,0.0001298030625354419,9.999899866844696e-12,0.001496005057003556
5,0.0625,0.0,0.06250000889867667,4.088420267989808e-09,7.4230145402686345,PASS,no_biactive,none,Solve_Succeeded,2.2938742800000114,0,slow,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3182449627549193e-12,6.452636038021793e-05,9.999899865052086e-12,0.0015372297652454408
6,0.03125,0.0,0.031250008913449874,4.953829013665256e-11,7.425608917512217,PASS,no_biactive,none,Solve_Succeeded,2.222119660999965,0,slow,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3217880151387395e-12,3.2131192338083924e-05,9.999899864171365e-12,0.0015583275040158173
7,0.015625,0.0,0.015625008920719396,1.0667766147066861e-13,7.4269169545512455,PASS,no_biactive,none,Solve_Succeeded,2.206114705999994,0,fast,21,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3237514550803146e-12,1.602805915450574e-05,9.999899863734907e-12,0.0015689989778403842
8,0.0078125,0.0,0.007812508924325357,1.286610117118205e-11,7.427573688519274,PASS,no_biactive,none,Solve_Succeeded,2.2569491569999514,0,fast,20,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.32476068733154e-12,8.00440545793546e-06,9.999899863517624e-12,0.0015743662467260135
9,0.00390625,0.0,0.003906258926121159,1.1767600545528004e-13,7.427902734731431,PASS,no_biactive,none,Solve_Succeeded,2.255672531000016,0,fast,19,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3252689226567886e-12,4.0004074456208214e-06,9.999899863409158e-12,0.001577059329524021
10,0.001953125,0.0,0.001953133927017206,2.9556368107539106e-10,7.428067427652018,PASS,no_biactive,none,Solve_Succeeded,1.8838817879999965,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3255235160013293e-12,2.0011136003684377e-06,9.999899863354842e-12,0.0015784113676339836
11,0.0009765625,0.0,0.0009765714274646833,6.558776925161183e-13,7.42814981652439,PASS,no_biactive,none,Solve_Succeeded,1.9451633859999902,0,fast,18,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3256508986207163e-12,1.003546815329799e-06,9.999899863327406e-12,0.001579095199424874
12,0.00048828125,0.0,0.0004882901776883636,2.8765023762885634e-10,7.428191021492931,PASS,no_biactive,none,Solve_Succeeded,1.7621772059999898,0,fast,16,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257146180693516e-12,5.082967959258467e-07,9.999899863313073e-12,0.001579452678290542
13,0.000244140625,0.0,0.0002441495527977324,3.372666359092411e-10,7.428211626499343,PASS,no_biactive,none,Solve_Succeeded,1.583565431000011,0,fast,15,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257464872639272e-12,2.6992594825752205e-07,9.99989986330474e-12,0.0015796605919991256
14,0.0001220703125,0.0,0.00012207924033703847,9.756770313548713e-10,7.428221929581435,PASS,no_biactive,none,Solve_Succeeded,1.4868551669999874,0,fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257624250924736e-12,1.740810111439948e-07,9.999852598066092e-12,0.0015798204100364035
15,6.103515625e-05,0.0,6.104408416110596e-05,2.011486112223071e-10,7.428227081180863,PASS,no_biactive,none,Solve_Succeeded,1.4896508809999887,0,fast,14,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257703945947434e-12,2.5357331445204086e-07,9.999899861440995e-12,0.0015800104122803513
16,3.0517578125e-05,0.0,3.0526506004297706e-05,5.888135941821936e-10,7.42822965708509,PASS,no_biactive,none,Solve_Succeeded,1.3892149740000264,0,fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257743795286913e-12,4.7239496142622344e-07,9.999883031392858e-12,0.0015803266084766586
17,1.52587890625e-05,0.0,1.5267716876875612e-05,7.524694877608651e-10,7.428230945030822,PASS,no_biactive,none,Solve_Succeeded,1.4064876819999768,0,fast,13,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257763716152256e-12,9.297041689520928e-07,9.999890331417686e-12,0.0015809236228019835
18,7.62939453125e-06,0.0,7.637061949861609e-06,8.888973919993562e-10,7.4282315906829375,PASS,no_biactive,none,Solve_Succeeded,1.0592455649999692,0,fast,11,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,2.8765933783323224e-12,4.011714883889798e-06,2.169716697462657e-11,0.0015847146368176506
19,3.814697265625e-06,0.0,3.823625376719664e-06,4.579552075555625e-10,7.428231910966995,PASS,no_biactive,none,Solve_Succeeded,1.2727591179999536,0,fast,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.325777866925641e-12,3.6882268100976423e-06,9.999898473817783e-12,0.0015844307877180945
20,1.9073486328125e-06,0.0,1.916277445851888e-06,2.9799163787577743e-10,7.428232071911769,PASS,no_biactive,none,Solve_Succeeded,1.277615336999986,0,fast,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257781153168846e-12,7.340260764959395e-06,9.999899847192607e-12,0.0015890661765025952
21,9.5367431640625e-07,0.0,9.62603612377773e-07,3.652115629094446e-10,7.428232152378485,PASS,no_biactive,none,Solve_Succeeded,1.3097326989999942,0,fast,12,,none,0.0,0.0,none,False,,0,0,False,False,0,inf,-1,1e-06,1.3257782403539387e-12,1.4543707429003015e-05,9.999899650521808e-12,0.0015980223716814317
